"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"A","1617445188.7587073","7","-10","46","47","40","37","0.687683","0.184021","-0.702271","0.007446","-0.022901","-0.015267","-0.015267","9.380102","2.204761","-0.616089","-0.111255","-0.172266","-0.084937","0.12561","-0.110059","-0.144751"
"A","1617445188.7489452","7","-10","47","44","38","35","0.687744","0.184143","-0.702148","0.007751","-0.022901","-0.015267","-0.015267","9.347803","2.209546","-0.618481","-0.144751","-0.165088","-0.089722","0.128003","-0.093311","-0.174658"
"A","1617445188.738829","7","-10","47","48","46","33","0.687866","0.184265","-0.701965","0.008057","-0.015267","-0.015267","-0.007634","9.317896","2.183228","-0.634033","-0.174658","-0.19021","-0.108862","0.153125","-0.104077","-0.209351"
"A","1617445188.7287788","7","-10","48","50","40","33","0.687988","0.184326","-0.701843","0.00824","-0.015267","-0.007634","-0.007634","9.326269","2.154517","-0.662744","-0.16748","-0.216528","-0.141162","0.191406","-0.122021","-0.206958"
"A","1617445188.7187448","7","-10","47","47","41","36","0.68811","0.184448","-0.701721","0.008301","-0.007634","-0.007634","-0.007634","9.34541","2.18562","-0.679492","-0.14834","-0.187817","-0.160303","0.202173","-0.095703","-0.18064"
"A","1617445188.7091331","7","-9","45","50","44","36","0.688171","0.18457","-0.70166","0.008301","-0.007634","-0.007634","0","9.348999","2.228687","-0.697437","-0.144751","-0.145947","-0.179443","0.209351","-0.05144","-0.165088"
"A","1617445188.698866","7","-10","49","46","43","37","0.688232","0.184631","-0.701538","0.008179","0","-0.007634","0","9.353785","2.263379","-0.709399","-0.13877","-0.113647","-0.193799","0.214136","-0.019141","-0.150732"
"A","1617445188.6889129","7","-10","51","48","42","38","0.688354","0.184753","-0.701355","0.007996","-0.007634","-0.007634","0.007634","9.363355","2.321997","-0.704614","-0.128003","-0.059814","-0.192603","0.198584","0.026318","-0.128003"
"A","1617445188.6788278","7","-11","48","48","38","35","0.688538","0.185059","-0.701172","0.007812","-0.015267","-0.015267","0.015267","9.369336","2.42727","-0.680689","-0.120825","0.037085","-0.173462","0.154321","0.110059","-0.098096"
"A","1617445188.6687295","7","-10","52","44","40","37","0.68866","0.185486","-0.700928","0.007751","-0.022901","-0.015267","0.022901","9.374121","2.534936","-0.655566","-0.114844","0.137573","-0.150732","0.105273","0.196191","-0.069385"
