"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"B","1617445263.5366716","7","35","-5","-33","-45","-35","0.556335","-0.143066","-0.817993","-0.029236","0.045802","0.045802","0.061069","8.68147","-0.897217","-3.691748","-0.319409","0.193799","0.023926","0.137573","0.12561","-0.322998"
"B","1617445263.5268004","7","36","-3","-34","-44","-38","0.555542","-0.142761","-0.818604","-0.030396","0.053435","0.045802","0.053435","8.683863","-0.81228","-3.785058","-0.314624","0.253613","-0.05144","0.221313","0.168677","-0.29668"
"B","1617445263.5168395","7","33","1","-33","-46","-38","0.554688","-0.142639","-0.819153","-0.031555","0.061069","0.045802","0.045802","8.673096","-0.741699","-3.85564","-0.320605","0.301465","-0.105273","0.285913","0.202173","-0.285913"
"B","1617445263.5068643","7","35","-6","-35","-44","-37","0.553955","-0.1427","-0.81958","-0.032715","0.068702","0.045802","0.038168","8.683863","-0.709399","-3.898706","-0.305054","0.313428","-0.133984","0.309839","0.210547","-0.260791"
"B","1617445263.496913","7","35","-6","-33","-45","-35","0.553284","-0.142883","-0.819946","-0.033813","0.068702","0.038168","0.030534","8.703003","-0.681885","-3.913062","-0.282324","0.322998","-0.135181","0.30625","0.223706","-0.239258"
"B","1617445263.486714","7","33","-3","-33","-43","-38","0.552673","-0.143127","-0.820312","-0.034851","0.061069","0.038168","0.030534","8.740088","-0.668726","-3.890332","-0.242847","0.320605","-0.099292","0.260791","0.236865","-0.216528"
"B","1617445263.4768283","7","35","-2","-33","-48","-36","0.552063","-0.143311","-0.820618","-0.035828","0.053435","0.030534","0.030534","8.758032","-0.640015","-3.867603","-0.221313","0.333765","-0.065796","0.227295","0.260791","-0.209351"
"B","1617445263.4667137","7","32","-3","-35","-48","-38","0.551575","-0.143433","-0.820923","-0.036621","0.038168","0.015267","0.022901","8.738892","-0.610107","-3.847266","-0.238062","0.350513","-0.035889","0.211743","0.279932","-0.238062"
"B","1617445263.4567397","7","34","-3","-33","-49","-37","0.55127","-0.143433","-0.821045","-0.037231","0.022901","0.007634","0.022901","8.699414","-0.5802","-3.81377","-0.276343","0.369653","0.001196","0.197388","0.299072","-0.288306"
"B","1617445263.446938","7","33","-3","-33","-44","-37","0.551147","-0.143494","-0.821167","-0.037659","0.015267","0","0.015267","8.645581","-0.553882","-3.79104","-0.330176","0.38999","0.027515","0.198584","0.314624","-0.350513"
"B","1617445263.4369018","7","33","-3","-33","-44","-37","0.551086","-0.143555","-0.821167","-0.037964","0.015267","-0.007634","0","8.595337","-0.549097","-3.777881","-0.38042","0.38999","0.04187","0.203369","0.307446","-0.401953"
"B","1617445263.4268537","7","32","-2","-33","-46","-35","0.551086","-0.143738","-0.821106","-0.038025","0.015267","-0.007634","-0.007634","8.571411","-0.565845","-3.759937","-0.404346","0.374438","0.058618","0.192603","0.291895","-0.428271"
"B","1617445263.416721","7","32","-3","-33","-50","-36","0.551147","-0.144043","-0.820984","-0.038025","0.015267","-0.007634","-0.022901","8.545093","-0.616089","-3.761133","-0.430664","0.327783","0.056226","0.191406","0.24165","-0.447412"
"B","1617445263.4068134","7","36","-3","-33","-45","-37","0.551208","-0.144592","-0.820862","-0.037903","0.015267","0","-0.030534","8.541504","-0.697437","-3.7396","-0.433057","0.25481","0.076563","0.154321","0.174658","-0.451001"
"B","1617445263.397025","7","33","-1","-33","-45","-38","0.551208","-0.145203","-0.820801","-0.037659","0.007634","0.007634","-0.038168","8.569018","-0.783569","-3.715674","-0.405542","0.178247","0.101685","0.100488","0.112451","-0.428271"
"B","1617445263.386683","7","36","-3","-33","-45","-37","0.551086","-0.145935","-0.82074","-0.037354","0.007634","0.007634","-0.038168","8.614477","-0.888843","-3.690552","-0.356494","0.086133","0.129199","0.0323","0.039478","-0.385205"
"B","1617445263.377483","7","35","-3","-34","-45","-36","0.550964","-0.146545","-0.82074","-0.037048","0","0.015267","-0.038168","8.646777","-1.010864","-3.689355","-0.321802","-0.023926","0.133984","-0.013159","-0.056226","-0.343335"
"B","1617445263.366726","7","35","-4","-33","-43","-36","0.550781","-0.146973","-0.820801","-0.036621","-0.015267","0.007634","-0.030534","8.65874","-1.094604","-3.676196","-0.307446","-0.096899","0.150732","-0.053833","-0.119629","-0.330176"
"B","1617445263.3568952","7","34","-2","-33","-41","-35","0.550659","-0.147217","-0.820862","-0.036133","-0.030534","0","-0.030534","8.62644","-1.136475","-3.676196","-0.336157","-0.128003","0.154321","-0.055029","-0.155518","-0.354102"
"B","1617445263.3469656","7","35","-2","-33","-50","-37","0.550659","-0.147339","-0.820862","-0.035645","-0.030534","-0.007634","-0.022901","8.558252","-1.177148","-3.715674","-0.403149","-0.160303","0.11604","-0.007178","-0.208154","-0.397168"
"B","1617445263.337159","7","36","-1","-34","-46","-36","0.550781","-0.1474","-0.820801","-0.035156","-0.030534","-0.015267","-0.022901","8.493652","-1.217822","-3.779077","-0.467749","-0.191406","0.050244","0.0646","-0.265576","-0.427075"
"B","1617445263.327755","7","35","0","-33","-48","-37","0.551025","-0.147278","-0.820679","-0.034851","-0.022901","-0.007634","-0.015267","8.475708","-1.221411","-3.831714","-0.488086","-0.19021","-0.005981","0.122021","-0.281128","-0.423486"
"B","1617445263.3169355","7","32","-4","-35","-12","-38","0.551208","-0.147156","-0.820618","-0.034607","-0.015267","-0.007634","-0.007634","8.493652","-1.21543","-3.869995","-0.471338","-0.181836","-0.046655","0.154321","-0.278735","-0.393579"
"B","1617445263.3068416","7","31","-3","-34","-43","-37","0.55127","-0.147034","-0.820557","-0.034546","-0.007634","0","0","8.541504","-1.214233","-3.895117","-0.423486","-0.18064","-0.07417","0.162695","-0.27395","-0.33855"
