"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"C","1617445328.8576005","7","11","39","36","42","26","0.907349","-0.116394","-0.393677","-0.090271","0.007634","-0.015267","0.015267","6.837988","-1.516895","6.31521","-0.368457","-0.142358","-0.18064","-0.159106","-0.160303","-0.369653"
"C","1617445328.8483453","7","11","39","36","42","20","0.907349","-0.116333","-0.393616","-0.090698","0.007634","-0.015267","0.022901","6.88584","-1.486987","6.272143","-0.320605","-0.117236","-0.224902","-0.089722","-0.151929","-0.368457"
"C","1617445328.83753","7","9","41","38","38","21","0.907288","-0.116272","-0.393677","-0.091248","0.007634","-0.007634","0.022901","6.963599","-1.461865","6.226685","-0.244043","-0.098096","-0.270361","-0.001196","-0.151929","-0.344531"
"C","1617445328.8276634","7","8","40","37","40","21","0.907166","-0.116211","-0.393799","-0.091858","0.007634","0","0.030534","7.059302","-1.414014","6.1573","-0.150732","-0.056226","-0.337354","0.117236","-0.137573","-0.326587"
"C","1617445328.8175366","7","9","41","37","39","23","0.907043","-0.116089","-0.393982","-0.092468","0.007634","0.007634","0.038168","7.158594","-1.336255","6.093896","-0.055029","0.013159","-0.398364","0.24165","-0.095703","-0.30625"
"C","1617445328.807591","7","10","40","36","39","25","0.906921","-0.115906","-0.394165","-0.09314","0.007634","0.007634","0.038168","7.257886","-1.258496","6.034082","0.039478","0.081348","-0.456982","0.363672","-0.053833","-0.284717"
"C","1617445328.797541","7","9","40","40","39","23","0.906799","-0.115723","-0.394287","-0.093811","0.007634","0.007634","0.038168","7.338037","-1.186719","5.981445","0.117236","0.144751","-0.508423","0.468945","-0.014355","-0.269165"
"C","1617445328.7877686","7","8","39","38","41","21","0.906738","-0.115601","-0.394409","-0.094421","0.007634","0.007634","0.038168","7.39187","-1.126904","5.940772","0.16748","0.197388","-0.5479","0.543115","0.019141","-0.265576"
"C","1617445328.777694","7","9","42","36","38","24","0.906677","-0.11554","-0.394348","-0.095032","0.007634","0","0.030534","7.416992","-1.080249","5.913257","0.193799","0.238062","-0.576611","0.592163","0.046655","-0.270361"
"C","1617445328.7676091","7","10","40","36","38","23","0.906677","-0.115479","-0.394287","-0.09552","0","0","0.030534","7.421777","-1.03479","5.909668","0.198584","0.278735","-0.581396","0.608911","0.08374","-0.275146"
"C","1617445328.757724","7","8","40","40","40","23","0.906677","-0.115356","-0.394165","-0.095947","0","0","0.022901","7.416992","-0.986938","5.916846","0.194995","0.320605","-0.575415","0.613696","0.12561","-0.279932"
"C","1617445328.7485266","7","7","41","32","40","21","0.906738","-0.115295","-0.393982","-0.096252","-0.007634","0","0.015267","7.395459","-0.945068","5.928809","0.175854","0.360083","-0.567041","0.605322","0.16748","-0.294287"
"C","1617445328.7383676","7","7","39","36","49","-3","0.90686","-0.115173","-0.393799","-0.096375","-0.015267","-0.007634","0","7.379907","-0.922339","5.956323","0.162695","0.38042","-0.544312","0.586182","0.193799","-0.290698"
"C","1617445328.7276947","7","8","41","36","39","23","0.906982","-0.115173","-0.393494","-0.096313","-0.015267","-0.007634","-0.007634","7.360766","-0.921143","5.987427","0.147144","0.382812","-0.516797","0.557471","0.205762","-0.284717"
"C","1617445328.7182302","7","7","39","34","40","25","0.907104","-0.115173","-0.393188","-0.09613","-0.015267","-0.015267","-0.015267","7.327271","-0.946265","6.029297","0.119629","0.360083","-0.479712","0.507227","0.196191","-0.277539"
"C","1617445328.7082918","7","11","39","37","36","23","0.907349","-0.115173","-0.392761","-0.095764","-0.015267","-0.015267","-0.022901","7.279419","-1.008472","6.077148","0.077759","0.301465","-0.439038","0.434253","0.155518","-0.27395"
"C","1617445328.6983182","7","9","38","34","40","21","0.907593","-0.115295","-0.392273","-0.095215","-0.015267","-0.022901","-0.038168","7.217212","-1.089819","6.141748","0.023926","0.228491","-0.38042","0.33855","0.107666","-0.265576"
"C","1617445328.688476","7","7","39","32","36","21","0.907837","-0.115356","-0.391785","-0.094666","-0.022901","-0.022901","-0.045802","7.138257","-1.165186","6.20874","-0.046655","0.160303","-0.320605","0.230884","0.065796","-0.269165"
"C","1617445328.678399","7","8","40","33","39","23","0.908142","-0.115417","-0.391296","-0.093933","-0.022901","-0.022901","-0.053435","7.052124","-1.232178","6.281714","-0.124414","0.101685","-0.25481","0.117236","0.034692","-0.27395"
"C","1617445328.6684265","7","9","39","36","39","21","0.908447","-0.115417","-0.390869","-0.093079","-0.030534","-0.015267","-0.053435","6.957617","-1.295581","6.361865","-0.211743","0.045459","-0.181836","-0.005981","0.008374","-0.282324"
"C","1617445328.658518","7","8","40","37","38","21","0.908691","-0.115356","-0.390503","-0.092163","-0.030534","-0.015267","-0.061069","6.85354","-1.337451","6.437232","-0.308643","0.010767","-0.112451","-0.128003","0.002393","-0.301465"
"C","1617445328.6482975","7","9","41","37","41","23","0.908936","-0.115234","-0.390198","-0.091248","-0.038168","-0.015267","-0.061069","6.75664","-1.37334","6.497046","-0.400757","-0.017944","-0.058618","-0.235669","-0.002393","-0.328979"
"C","1617445328.6382897","7","10","39","36","40","24","0.90918","-0.115112","-0.389893","-0.090271","-0.038168","-0.022901","-0.053435","6.656152","-1.398462","6.54729","-0.495264","-0.035889","-0.013159","-0.336157","0","-0.364868"
"C","1617445328.6283932","7","9","41","36","41","24","0.909363","-0.114868","-0.389709","-0.089355","-0.038168","-0.015267","-0.053435","6.574805","-1.406836","6.584375","-0.571826","-0.04187","0.019141","-0.41272","0.005981","-0.398364"
"C","1617445328.6182785","7","9","38","38","40","21","0.909546","-0.114624","-0.389587","-0.088501","-0.038168","-0.015267","-0.045802","6.501831","-1.403247","6.616675","-0.641211","-0.034692","0.047852","-0.477319","0.025122","-0.429468"
"C","1617445328.6084125","7","10","40","38","39","24","0.909668","-0.114319","-0.389526","-0.087769","-0.030534","-0.015267","-0.038168","6.449194","-1.404443","6.647779","-0.691455","-0.035889","0.077759","-0.532349","0.035889","-0.446216"
"C","1617445328.5984569","7","9","41","38","40","24","0.909729","-0.114136","-0.389526","-0.087158","-0.022901","-0.015267","-0.030534","6.430054","-1.419995","6.675293","-0.709399","-0.050244","0.104077","-0.567041","0.029907","-0.439038"
"C","1617445328.5882466","7","7","37","39","40","21","0.90979","-0.113953","-0.389587","-0.086731","-0.022901","-0.015267","-0.022901","6.422876","-1.452295","6.687256","-0.717773","-0.082544","0.11604","-0.588574","0.001196","-0.433057"
"C","1617445328.5785606","7","9","38","38","40","25","0.909851","-0.11377","-0.389587","-0.086365","-0.022901","-0.022901","-0.022901","6.410913","-1.455884","6.701612","-0.72854","-0.086133","0.129199","-0.606519","0.002393","-0.43186"
"C","1617445328.5685215","7","9","24","37","39","24","0.909912","-0.113586","-0.389526","-0.086182","-0.015267","-0.022901","-0.015267","6.391772","-1.409229","6.725537","-0.746484","-0.040674","0.151929","-0.623267","0.052637","-0.435449"
"C","1617445328.5583737","7","11","39","36","36","20","0.909973","-0.113464","-0.389465","-0.08606","-0.007634","-0.022901","0","6.388184","-1.409229","6.735107","-0.748877","-0.04187","0.159106","-0.630444","0.053833","-0.43186"
"C","1617445328.5484054","7","10","39","36","40","20","0.909973","-0.113403","-0.389465","-0.086182","0","-0.022901","0.007634","6.416894","-1.414014","6.733911","-0.720166","-0.049048","0.15791","-0.611304","0.045459","-0.411523"
"C","1617445328.538533","7","9","37","38","40","22","0.909912","-0.113403","-0.389526","-0.086487","0.007634","-0.015267","0.022901","6.459961","-1.410425","6.717163","-0.678296","-0.047852","0.142358","-0.571826","0.039478","-0.391187"
"C","1617445328.5284042","7","9","40","37","38","23","0.909851","-0.113342","-0.389587","-0.087036","0.007634","-0.015267","0.030534","6.509009","-1.388892","6.690845","-0.631641","-0.031104","0.11604","-0.517993","0.045459","-0.378027"
"C","1617445328.5183938","7","8","40","37","39","22","0.909668","-0.113281","-0.389832","-0.087646","0.007634","-0.007634","0.038168","6.583179","-1.342236","6.647779","-0.56106","0.007178","0.077759","-0.433057","0.066992","-0.35769"
"C","1617445328.5083487","7","9","40","37","41","21","0.909485","-0.113159","-0.390137","-0.088379","0.007634","0","0.045802","6.682471","-1.284814","6.586768","-0.467749","0.056226","0.020337","-0.317017","0.093311","-0.334961"
"C","1617445328.4985309","7","11","41","34","39","22","0.909241","-0.113037","-0.390503","-0.089172","0.007634","0","0.045802","6.785352","-1.229785","6.510205","-0.37085","0.101685","-0.049048","-0.191406","0.111255","-0.317017"
"C","1617445328.4882524","7","8","40","38","35","20","0.909058","-0.112915","-0.390869","-0.089966","0.015267","0.007634","0.053435","6.898999","-1.181934","6.410913","-0.26438","0.139966","-0.144751","-0.043066","0.113647","-0.308643"
"C","1617445328.4784596","7","8","39","36","40","24","0.908813","-0.112915","-0.391235","-0.090881","0.015267","0.007634","0.053435","7.009058","-1.148438","6.322388","-0.160303","0.165088","-0.227295","0.089722","0.10647","-0.290698"
"C","1617445328.4684048","7","7","42","33","40","26","0.908569","-0.112915","-0.391602","-0.091797","0.022901","0.007634","0.053435","7.126294","-1.138867","6.239844","-0.050244","0.166284","-0.303857","0.217725","0.078955","-0.260791"
"C","1617445328.4584112","7","9","41","36","42","23","0.908325","-0.113037","-0.391846","-0.092773","0.022901","0.007634","0.053435","7.22439","-1.143652","6.177637","0.04187","0.155518","-0.361279","0.317017","0.044263","-0.230884"
"C","1617445328.4484713","7","9","39","37","37","23","0.908081","-0.113159","-0.39209","-0.093689","0.030534","0.015267","0.045802","7.316504","-1.152026","6.117822","0.129199","0.141162","-0.416309","0.410327","0.008374","-0.200977"
"C","1617445328.438411","7","9","40","36","39","20","0.907898","-0.113342","-0.392273","-0.094604","0.022901","0.015267","0.045802","7.39187","-1.149634","6.081933","0.200977","0.13877","-0.449805","0.482104","-0.00957","-0.169873"
"C","1617445328.4283855","7","7","39","37","42","24","0.907715","-0.113403","-0.392456","-0.095459","0.022901","0.007634","0.045802","7.450488","-1.123315","6.0604","0.256006","0.159106","-0.467749","0.537134","0","-0.143555"
"C","1617445328.4187686","7","8","29","36","38","25","0.907593","-0.113525","-0.392517","-0.096252","0.022901","0.007634","0.038168","7.480395","-1.095801","6.029297","0.283521","0.183032","-0.497656","0.582593","0.00957","-0.145947"
"C","1617445328.408351","7","9","39","37","42","24","0.907471","-0.113708","-0.392578","-0.096985","0.022901","0.007634","0.038168","7.505517","-1.081445","6.012549","0.30625","0.193799","-0.512012","0.610107","0.013159","-0.141162"
"C","1617445328.398414","7","8","38","36","41","23","0.90741","-0.113892","-0.392517","-0.097656","0.022901","0.007634","0.030534","7.519873","-1.079053","5.992212","0.320605","0.194995","-0.532349","0.634033","0.007178","-0.143555"
"C","1617445328.388336","7","8","39","34","41","23","0.907349","-0.114136","-0.392456","-0.098267","0.022901","0.007634","0.022901","7.528247","-1.068286","5.98623","0.327783","0.204565","-0.53833","0.645996","0.013159","-0.143555"
"C","1617445328.3786223","7","9","36","42","44","26","0.907288","-0.11438","-0.392456","-0.098816","0.015267","0.007634","0.022901","7.52107","-1.03479","5.983838","0.319409","0.238062","-0.540723","0.650781","0.044263","-0.155518"
"C","1617445328.3683825","7","11","40","36","40","19","0.907227","-0.114441","-0.392395","-0.099182","0.007634","0.007634","0.007634","7.49834","-0.98335","5.98982","0.297876","0.288306","-0.534741","0.645996","0.094507","-0.173462"
