"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"D","1617445394.712209","7","33","6","52","51","28","0.825989","-0.194275","-0.518738","-0.104614","-0.015267","-0.007634","0","8.460156","-2.021729","3.66543","-0.336157","0.059814","-0.120825","-0.026318","-0.007178","-0.360083"
"D","1617445394.7020838","7","33","5","52","50","31","0.82605","-0.194092","-0.518677","-0.104553","-0.015267","-0.007634","-0.007634","8.443408","-2.033691","3.703711","-0.351709","0.045459","-0.08374","-0.069385","-0.004785","-0.356494"
"D","1617445394.6914687","7","32","4","53","52","31","0.826172","-0.19397","-0.518616","-0.104431","-0.015267","-0.015267","-0.007634","8.417089","-2.043262","3.721655","-0.376831","0.035889","-0.069385","-0.095703","-0.007178","-0.372046"
"D","1617445394.6821034","7","33","5","52","48","33","0.826294","-0.193787","-0.518494","-0.10437","-0.015267","-0.015267","-0.007634","8.38479","-2.058814","3.725244","-0.407935","0.017944","-0.069385","-0.11604","-0.025122","-0.395972"
"D","1617445394.672109","7","33","5","53","52","31","0.826355","-0.193604","-0.518372","-0.104248","-0.015267","-0.007634","-0.007634","8.369238","-2.068384","3.737207","-0.421094","0.007178","-0.059814","-0.133984","-0.029907","-0.401953"
"D","1617445394.6619985","7","32","5","55","51","31","0.826416","-0.193481","-0.518372","-0.104126","-0.015267","-0.007634","-0.007634","8.375219","-2.074365","3.757544","-0.415112","0.001196","-0.040674","-0.14834","-0.027515","-0.387598"
"D","1617445394.6512432","7","33","6","53","54","33","0.826477","-0.193298","-0.518494","-0.103943","-0.015267","0","-0.007634","8.407519","-2.068384","3.776685","-0.385205","0.005981","-0.021533","-0.149536","-0.014355","-0.354102"
"D","1617445394.641332","7","32","7","53","53","32","0.826416","-0.193054","-0.518677","-0.103882","-0.015267","0.007634","0","8.433838","-2.032495","3.787451","-0.360083","0.038281","-0.00957","-0.136377","0.019141","-0.333765"
"D","1617445394.632048","7","31","8","54","52","33","0.826355","-0.192871","-0.51886","-0.10376","-0.015267","0.007634","0","8.441015","-1.976269","3.776685","-0.354102","0.092114","-0.017944","-0.10647","0.0646","-0.343335"
"D","1617445394.6219203","7","32","6","56","53","30","0.826233","-0.192627","-0.519043","-0.103699","-0.015267","0.007634","0","8.441015","-1.91167","3.753955","-0.355298","0.151929","-0.037085","-0.069385","0.111255","-0.364868"
"D","1617445394.611577","7","31","7","54","48","36","0.826172","-0.192505","-0.519287","-0.103638","-0.007634","0.007634","0","8.436231","-1.862622","3.730029","-0.362476","0.198584","-0.057422","-0.038281","0.144751","-0.388794"
"D","1617445394.6013165","7","31","5","53","54","32","0.826111","-0.192505","-0.519409","-0.103577","0","0","0","8.430249","-1.835107","3.686963","-0.369653","0.227295","-0.098096","0.001196","0.153125","-0.417505"
"D","1617445394.591952","7","34","7","53","48","32","0.825989","-0.192566","-0.519531","-0.103638","0.007634","0","0","8.419482","-1.838696","3.648682","-0.381616","0.22251","-0.133984","0.023926","0.132788","-0.440234"
"D","1617445394.5814629","7","32","6","53","52","32","0.825928","-0.192749","-0.519531","-0.103699","0.007634","-0.007634","-0.007634","8.399145","-1.839893","3.615185","-0.401953","0.223706","-0.165088","0.04187","0.119629","-0.471338"
"D","1617445394.5721123","7","31","5","54","51","33","0.825928","-0.192993","-0.51947","-0.10376","0.007634","-0.007634","-0.007634","8.372828","-1.8375","3.585278","-0.428271","0.229687","-0.194995","0.056226","0.111255","-0.507227"
"D","1617445394.562121","7","32","6","54","53","30","0.825928","-0.193237","-0.519348","-0.10376","0.007634","-0.007634","-0.015267","8.357275","-1.826733","3.574512","-0.442627","0.244043","-0.205762","0.0646","0.119629","-0.527563"
"D","1617445394.5521371","7","29","4","54","57","30","0.825989","-0.19342","-0.519226","-0.103638","0","-0.007634","-0.015267","8.353686","-1.819556","3.582886","-0.44502","0.256006","-0.19978","0.062207","0.132788","-0.529956"
