"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"E","1617445472.1493616","7","59","43","44","45","26","0.752869","-0.190674","-0.615723","-0.133118","0.007634","-0.007634","-0.007634","9.225781","-1.190308","1.632935","-0.356494","0.016748","-0.022729","-0.045459","-0.007178","-0.354102"
"E","1617445472.1395302","7","65","47","44","46","26","0.75293","-0.190735","-0.615601","-0.133179","0","-0.015267","-0.007634","9.198267","-1.202271","1.597046","-0.384009","0.004785","-0.061011","-0.022729","-0.035889","-0.386401"
"E","1617445472.129576","7","61","43","43","43","28","0.752991","-0.190796","-0.61554","-0.13324","-0.007634","-0.007634","-0.007634","9.192286","-1.203467","1.577905","-0.38999","0.004785","-0.082544","-0.005981","-0.045459","-0.394775"
"E","1617445472.119486","7","65","49","45","42","27","0.753052","-0.190735","-0.615417","-0.13324","-0.007634","-0.007634","-0.007634","9.20664","-1.198682","1.585083","-0.374438","0.008374","-0.077759","-0.004785","-0.039478","-0.379224"
"E","1617445472.1093917","7","60","47","45","43","26","0.753113","-0.190674","-0.615356","-0.133179","-0.007634","-0.007634","-0.007634","9.215014","-1.190308","1.59585","-0.364868","0.017944","-0.068188","-0.007178","-0.026318","-0.369653"
"E","1617445472.099588","7","61","46","44","42","27","0.753174","-0.190613","-0.615356","-0.133118","-0.007634","0","-0.007634","9.213819","-1.1927","1.611401","-0.367261","0.015552","-0.053833","-0.021533","-0.022729","-0.369653"
"E","1617445472.0894494","7","59","45","41","44","26","0.753174","-0.190613","-0.615356","-0.133118","0","0","-0.007634","9.244922","-1.211841","1.630542","-0.336157","-0.002393","-0.034692","-0.039478","-0.028711","-0.333765"
"E","1617445472.0795703","7","60","45","42","41","28","0.753113","-0.190735","-0.615417","-0.133118","0","0","-0.007634","9.259277","-1.216626","1.649683","-0.321802","-0.005981","-0.013159","-0.057422","-0.021533","-0.31582"
"E","1617445472.0693936","7","61","44","45","43","26","0.752991","-0.190796","-0.615479","-0.133179","0","0","-0.007634","9.232959","-1.198682","1.649683","-0.34812","0.00957","-0.010767","-0.057422","-0.007178","-0.343335"
"E","1617445472.0594444","7","64","47","45","43","27","0.752991","-0.190857","-0.615479","-0.13324","0","-0.007634","-0.007634","9.200659","-1.169971","1.625757","-0.38042","0.039478","-0.034692","-0.031104","0.005981","-0.381616"
"E","1617445472.0494616","7","63","45","42","45","26","0.752991","-0.190918","-0.615479","-0.13324","0","-0.007634","-0.007634","9.150415","-1.144849","1.593457","-0.430664","0.0646","-0.066992","-0.001196","0.011963","-0.440234"
"E","1617445472.0393465","7","61","47","44","43","26","0.752991","-0.190979","-0.615417","-0.133301","0","-0.007634","-0.007634","9.12649","-1.140064","1.549194","-0.45459","0.070581","-0.111255","0.033496","-0.002393","-0.471338"
"E","1617445472.0293834","7","61","43","45","42","26","0.75293","-0.19104","-0.615479","-0.133301","-0.007634","0.007634","-0.007634","9.132471","-1.126904","1.519287","-0.448608","0.08374","-0.139966","0.065796","-0.003589","-0.472534"
"E","1617445472.0193691","7","60","43","41","41","27","0.752869","-0.19104","-0.615601","-0.133301","-0.007634","0.007634","0","9.151611","-1.102978","1.500147","-0.430664","0.107666","-0.156714","0.094507","0.00957","-0.460571"
