"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"F","1617445541.5305855","7","6","39","-23","-23","-15","0.724731","-0.290771","-0.619202","-0.082397","0.015267","-0.015267","-0.007634","8.801099","-2.971582","0.586182","-0.462964","0.15791","-0.040674","0.008374","-0.003589","-0.490479"
"F","1617445541.5204964","7","4","37","-23","-21","-12","0.724792","-0.290955","-0.61908","-0.082581","0.007634","-0.007634","-0.007634","8.863306","-2.981152","0.581396","-0.401953","0.149536","-0.047852","0.023926","0","-0.430664"
"F","1617445541.5104284","7","5","40","-22","-23","-16","0.724792","-0.291016","-0.619019","-0.082642","0","-0.007634","0","8.918335","-2.995508","0.592163","-0.345728","0.135181","-0.037085","0.019141","0.007178","-0.372046"
"F","1617445541.5004866","7","5","37","-21","-22","-13","0.724792","-0.291016","-0.619019","-0.082703","-0.007634","0","0","8.961401","-3.032593","0.592163","-0.303857","0.098096","-0.037085","0.010767","-0.011963","-0.320605"
"F","1617445541.4904668","7","6","38","-18","-21","-11","0.724792","-0.291016","-0.619019","-0.082703","-0.007634","0","-0.007634","8.991308","-3.017041","0.608911","-0.27395","0.113647","-0.020337","0.010767","0.015552","-0.295483"
"F","1617445541.4803686","7","3","37","-27","-19","-12","0.724731","-0.291016","-0.61908","-0.082642","0","-0.007634","0","8.991308","-3.026611","0.604126","-0.272754","0.104077","-0.023926","0.00957","0.005981","-0.291895"
"F","1617445541.4711175","7","3","36","-21","-18","-15","0.724731","-0.291016","-0.61908","-0.082642","0","-0.007634","0","8.933887","-3.044556","0.569434","-0.330176","0.086133","-0.058618","0.017944","-0.039478","-0.343335"
"F","1617445541.4604106","7","3","39","-22","-22","-11","0.724731","-0.291077","-0.61908","-0.082764","0","0","0","8.893213","-3.048145","0.541919","-0.372046","0.081348","-0.086133","0.029907","-0.066992","-0.382812"
"F","1617445541.4504285","7","4","37","-26","-22","-15","0.72467","-0.291077","-0.61908","-0.082825","0.007634","0","0","8.886035","-3.049341","0.515601","-0.379224","0.078955","-0.111255","0.049048","-0.084937","-0.38999"
"F","1617445541.4405277","7","4","39","-21","-17","-12","0.724548","-0.291138","-0.619202","-0.083008","0.007634","0.007634","0","8.897998","-3.045752","0.504834","-0.368457","0.080151","-0.118433","0.057422","-0.084937","-0.38042"
"F","1617445541.4311554","7","5","37","-20","-21","-13","0.724426","-0.291138","-0.619324","-0.08313","0","0.007634","0","8.912354","-3.031396","0.49646","-0.355298","0.092114","-0.124414","0.071777","-0.075366","-0.373242"
"F","1617445541.4203768","7","-16","40","-22","-24","-15","0.724304","-0.291138","-0.619446","-0.083191","0","0.007634","0","8.924316","-3.013452","0.48689","-0.343335","0.108862","-0.130396","0.087329","-0.061011","-0.367261"
"F","1617445541.411176","7","5","40","-22","-19","-12","0.724182","-0.291077","-0.619568","-0.083252","-0.007634","0.007634","0","8.917139","-2.989526","0.489282","-0.351709","0.130396","-0.12561","0.092114","-0.043066","-0.381616"
"F","1617445541.401148","7","3","38","-22","-21","-12","0.724182","-0.290955","-0.619629","-0.083191","-0.015267","0","0","8.903979","-2.957227","0.498853","-0.364868","0.161499","-0.11604","0.095703","-0.015552","-0.403149"
"F","1617445541.39058","7","3","36","-20","-22","-12","0.724243","-0.290833","-0.61969","-0.083069","-0.015267","0","-0.007634","8.884839","-2.935693","0.522778","-0.385205","0.183032","-0.092114","0.081348","0.008374","-0.428271"
"F","1617445541.3811305","7","3","39","-22","-18","-13","0.724365","-0.29071","-0.619629","-0.082886","-0.007634","-0.007634","-0.007634","8.871679","-2.930908","0.553882","-0.397168","0.189014","-0.0646","0.058618","0.025122","-0.439038"
"F","1617445541.3710792","7","5","35","-27","-21","-13","0.724426","-0.290771","-0.619568","-0.082764","-0.007634","-0.007634","-0.007634","8.854932","-2.95603","0.583789","-0.41272","0.16748","-0.034692","0.019141","0.019141","-0.44502"
"F","1617445541.361252","7","5","37","-22","-23","-11","0.724487","-0.290833","-0.619446","-0.082642","0","-0.007634","-0.015267","8.846558","-2.987134","0.614893","-0.419897","0.13877","-0.005981","-0.019141","0.008374","-0.441431"
"F","1617445541.3511057","7","5","39","-21","-20","-11","0.724548","-0.290955","-0.619324","-0.082642","0","-0.007634","-0.015267","8.825025","-3.001489","0.626855","-0.440234","0.126807","0.003589","-0.038281","0","-0.455786"
"F","1617445541.3412223","7","3","36","-23","-19","-13","0.724609","-0.290955","-0.619202","-0.082581","-0.007634","-0.007634","-0.007634","8.821436","-2.993115","0.655566","-0.442627","0.136377","0.029907","-0.056226","0.020337","-0.459375"
"F","1617445541.331216","7","2","37","-23","-19","-16","0.72467","-0.290955","-0.619202","-0.082458","-0.015267","-0.007634","-0.007634","8.826221","-2.967993","0.683081","-0.437842","0.162695","0.056226","-0.065796","0.056226","-0.461768"
"F","1617445541.3212612","7","5","39","-23","-21","-12","0.724731","-0.290894","-0.619202","-0.082336","-0.015267","0","-0.007634","8.827417","-2.940479","0.693848","-0.436646","0.191406","0.065796","-0.059814","0.084937","-0.468945"
