"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"G","1617445667.263157","7","-17","3","44","48","28","0.860291","0.497131","-0.108215","0.030396","-0.030534","0","-0.007634","2.226294","8.966187","4.90957","0.105273","0.647192","0.184229","-0.028711","0.160303","0.660352"
"G","1617445667.2532167","7","-17","5","46","48","31","0.860107","0.497437","-0.108398","0.030518","-0.030534","0.007634","-0.015267","2.222705","9.02002","4.943067","0.096899","0.698633","0.223706","-0.05144","0.153125","0.721362"
"G","1617445667.2433176","7","-15","4","46","47","28","0.859985","0.49762","-0.108643","0.030701","-0.022901","0.007634","-0.022901","2.240649","9.002075","4.955029","0.108862","0.679492","0.239258","-0.039478","0.129199","0.715381"
"G","1617445667.2332792","7","-16","1","41","45","30","0.859863","0.497803","-0.108887","0.030823","-0.015267","0","-0.015267","2.241846","8.950635","4.958618","0.105273","0.625659","0.247632","-0.037085","0.094507","0.672314"
"G","1617445667.2233138","7","-16","4","48","48","29","0.859741","0.497925","-0.109009","0.031006","-0.022901","0","-0.015267","2.215527","8.951831","4.966992","0.075366","0.626855","0.259595","-0.068188","0.086133","0.673511"
"G","1617445667.2134042","7","-17","5","45","50","30","0.859619","0.498108","-0.109131","0.031189","-0.022901","0","-0.015267","2.21792","8.962598","4.978955","0.07417","0.636426","0.275146","-0.072974","0.076563","0.687866"
"G","1617445667.203375","7","-19","3","45","47","30","0.859497","0.49823","-0.109314","0.031311","-0.015267","0.007634","-0.022901","2.213135","8.937475","5.00647","0.065796","0.611304","0.30625","-0.082544","0.038281","0.679492"
"G","1617445667.193334","7","-13","1","46","48","28","0.859436","0.498291","-0.109619","0.031555","-0.015267","0.007634","-0.015267","2.220313","8.901587","5.055518","0.0646","0.575415","0.35769","-0.086133","-0.022729","0.673511"
"G","1617445667.1834135","7","-19","0","45","46","31","0.859375","0.49823","-0.109985","0.031677","0","0.007634","-0.022901","2.264575","8.835791","5.14165","0.101685","0.512012","0.44502","-0.055029","-0.132788","0.669922"
"G","1617445667.1732333","7","-17","3","46","47","31","0.859436","0.498108","-0.110107","0.03186","0.007634","-0.022901","-0.015267","2.225098","8.748462","5.203857","0.058618","0.425879","0.504834","-0.092114","-0.224902","0.616089"
"G","1617445667.1635008","7","-18","4","45","47","31","0.859497","0.498047","-0.109863","0.032104","0","-0.030534","0","2.110254","8.737696","5.205054","-0.053833","0.416309","0.503638","-0.19978","-0.22251","0.582593"
"G","1617445667.1533103","7","-16","4","45","47","30","0.859558","0.498108","-0.109497","0.032349","-0.007634","-0.030534","0","2.074365","8.789136","5.19668","-0.086133","0.466553","0.494067","-0.236865","-0.187817","0.613696"
"G","1617445667.1432505","7","-15","5","44","46","31","0.859436","0.49823","-0.109253","0.032471","-0.015267","-0.015267","0","2.071973","8.834595","5.191895","-0.084937","0.510815","0.491675","-0.242847","-0.163892","0.650781"
"G","1617445667.1332383","7","-17","3","46","46","29","0.859314","0.498535","-0.109253","0.032532","-0.015267","0.007634","0","2.107861","8.869287","5.175147","-0.049048","0.541919","0.479712","-0.210547","-0.139966","0.678296"
"G","1617445667.1234462","7","-17","3","44","48","27","0.859131","0.498779","-0.109558","0.032471","-0.015267","0.022901","-0.007634","2.170068","8.862109","5.152417","0.007178","0.532349","0.46416","-0.153125","-0.133984","0.675903"
"G","1617445667.113222","7","-19","3","43","44","29","0.858948","0.499023","-0.110046","0.032288","-0.007634","0.022901","-0.007634","2.204761","8.84895","5.094995","0.035889","0.516797","0.41272","-0.114844","-0.099292","0.643604"
"G","1617445667.1035368","7","-17","3","42","48","32","0.858765","0.499207","-0.110535","0.032166","-0.007634","0.030534","-0.007634","2.213135","8.863306","5.017236","0.037085","0.529956","0.340942","-0.105273","-0.031104","0.620874"
"G","1617445667.0932322","7","-17","3","44","46","28","0.858643","0.499329","-0.111145","0.031982","0","0.038168","-0.007634","2.288501","8.858521","4.929907","0.104077","0.523975","0.258398","-0.026318","0.0323","0.590967"
"G","1617445667.0832105","7","-19","4","46","44","28","0.858521","0.499329","-0.111877","0.031677","0.007634","0.045802","-0.007634","2.37583","8.822632","4.82583","0.183032","0.489282","0.15791","0.070581","0.096899","0.531152"
"G","1617445667.0733128","7","-16","2","44","44","26","0.858521","0.499207","-0.112549","0.031372","0.007634","0.045802","-0.007634","2.45957","8.778369","4.720557","0.258398","0.447412","0.053833","0.16748","0.161499","0.462964"
"G","1617445667.063345","7","-18","1","45","45","28","0.858582","0.499023","-0.11322","0.031006","0.007634","0.038168","-0.007634","2.507422","8.760425","4.647583","0.297876","0.430664","-0.019141","0.220117","0.212939","0.423486"
"G","1617445667.0532768","7","-15","5","44","46","29","0.858643","0.498779","-0.113708","0.030701","0","0.030534","-0.015267","2.520581","8.773584","4.620069","0.30625","0.447412","-0.049048","0.230884","0.247632","0.425879"
"G","1617445667.0432816","7","-19","0","44","46","28","0.858643","0.498657","-0.114014","0.030518","-0.007634","0.015267","-0.007634","2.479907","8.822632","4.616479","0.261987","0.497656","-0.052637","0.18064","0.277539","0.455786"
