"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"H","1617445719.6010616","7","29","4","-35","48","29","0.773926","0.627197","-0.067261","0.055115","-0.015267","0","0.007634","1.788452","10.12898","2.052832","0.089722","0.68667","0.052637","-0.029907","0.089722","0.68667"
"H","1617445719.591254","7","31","1","-33","44","20","0.773804","0.62738","-0.067139","0.054932","-0.022901","0","0.007634","1.782471","10.218701","2.062402","0.088525","0.775195","0.065796","-0.045459","0.095703","0.775195"
"H","1617445719.5810516","7","29","1","-33","46","27","0.773621","0.627625","-0.067078","0.054749","-0.022901","0.007634","0.007634","1.781274","10.298853","2.080347","0.089722","0.85415","0.089722","-0.058618","0.087329","0.856543"
"H","1617445719.5710928","7","31","1","-33","48","29","0.773438","0.627869","-0.067078","0.054565","-0.022901","0.007634","0.015267","1.800415","10.352686","2.099487","0.111255","0.905591","0.114844","-0.046655","0.072974","0.915161"
"H","1617445719.561117","7","29","-1","-35","46","28","0.773315","0.628052","-0.067078","0.054199","-0.007634","0.015267","0.015267","1.825537","10.377808","2.124609","0.141162","0.929517","0.144751","-0.021533","0.047852","0.948657"
"H","1617445719.551162","7","31","-1","-33","48","28","0.773376","0.628052","-0.067017","0.053772","0.007634","0.007634","0.022901","1.831519","10.363452","2.131787","0.153125","0.912769","0.150732","-0.007178","0.039478","0.936694"
"H","1617445719.5409608","7","29","-1","-34","46","27","0.773499","0.627991","-0.066833","0.053345","0.007634","0","0.022901","1.821948","10.349096","2.116235","0.151929","0.897217","0.132788","-0.003589","0.053833","0.917554"
"H","1617445719.5312574","7","29","-1","-36","46","26","0.773621","0.627808","-0.066589","0.052979","0.007634","-0.007634","0.022901","1.802808","10.363452","2.115039","0.141162","0.912769","0.128003","-0.015552","0.062207","0.929517"
"H","1617445719.5212376","7","32","1","-35","48","30","0.773743","0.627747","-0.066284","0.052673","0","-0.007634","0.015267","1.770508","10.402929","2.104272","0.11604","0.95105","0.114844","-0.045459","0.082544","0.959424"
"H","1617445719.5109909","7","29","-5","-33","48","27","0.773743","0.627747","-0.06604","0.05249","-0.007634","-0.007634","0.007634","1.745386","10.463941","2.105469","0.096899","1.010864","0.114844","-0.07417","0.095703","1.014453"
"H","1617445719.5018227","7","29","0","-36","47","27","0.773743","0.627808","-0.065918","0.052368","-0.007634","-0.007634","0.007634","1.704712","10.498632","2.094702","0.059814","1.04436","0.105273","-0.114844","0.111255","1.038379"
"H","1617445719.4914348","7","29","1","-35","47","29","0.773743","0.627869","-0.065857","0.052307","-0.007634","0","0.007634","1.708301","10.489062","2.074365","0.065796","1.033594","0.086133","-0.10647","0.128003","1.02522"
"H","1617445719.481021","7","29","-1","-36","46","27","0.773743","0.627808","-0.065979","0.052246","0","0.015267","0","1.74419","10.440015","2.064795","0.100488","0.985742","0.075366","-0.0646","0.129199","0.982153"
"H","1617445719.4712565","7","29","1","-35","45","31","0.773865","0.627686","-0.066223","0.052063","0.007634","0.022901","-0.007634","1.811182","10.374219","2.057617","0.165088","0.921143","0.065796","0.008374","0.124414","0.929517"
"H","1617445719.461264","7","29","-1","-37","46","27","0.773987","0.627502","-0.06665","0.05188","0.015267","0.022901","-0.007634","1.881763","10.276123","2.045654","0.23208","0.824243","0.050244","0.090918","0.119629","0.843384"
"H","1617445719.4510736","7","29","-1","-34","46","27","0.774231","0.627136","-0.067017","0.051697","0.022901","0.015267","-0.015267","1.940381","10.146924","2.015747","0.287109","0.697437","0.013159","0.16748","0.130396","0.722559"
"H","1617445719.4411714","7","29","-3","-34","44","27","0.774536","0.626709","-0.067383","0.051575","0.022901","0.015267","-0.022901","1.988232","10.029688","1.989429","0.331372","0.583789","-0.021533","0.230884","0.141162","0.613696"
"H","1617445719.4318428","7","29","3","-35","46","28","0.774841","0.626343","-0.067688","0.051575","0.015267","0.007634","-0.030534","2.006177","9.961499","1.981055","0.344531","0.516797","-0.038281","0.25481","0.143555","0.5479"
"H","1617445719.4219382","7","28","-3","-34","44","27","0.774963","0.62616","-0.067932","0.051697","-0.007634","-0.007634","-0.030534","1.989429","9.983032","1.988232","0.322998","0.540723","-0.035889","0.229687","0.147144","0.568237"
"H","1617445719.4117668","7","31","-3","-33","46","28","0.774963","0.626099","-0.068054","0.052063","-0.015267","-0.015267","-0.038168","1.942773","10.041651","2.012158","0.269165","0.600537","-0.011963","0.165088","0.136377","0.620874"
"H","1617445719.4012966","7","31","-1","-36","42","31","0.774841","0.626221","-0.068115","0.052612","-0.015267","-0.022901","-0.038168","1.878174","10.075147","2.022925","0.197388","0.634033","0","0.088525","0.131592","0.643604"
"H","1617445719.3917673","7","32","0","-35","45","26","0.774719","0.626282","-0.068237","0.053223","-0.015267","-0.015267","-0.038168","1.835107","10.061987","2.031299","0.144751","0.623267","0.010767","0.037085","0.119629","0.626855"
"H","1617445719.3817492","7","29","-2","-33","44","28","0.774719","0.626221","-0.068359","0.053772","0","-0.015267","-0.030534","1.825537","10.021314","2.039673","0.126807","0.583789","0.017944","0.025122","0.104077","0.587378"
"H","1617445719.371964","7","32","-1","-36","47","27","0.774841","0.626038","-0.068542","0.054138","0.015267","0","-0.022901","1.831519","9.948339","2.042065","0.12561","0.513208","0.015552","0.035889","0.092114","0.517993"
"H","1617445719.3618348","7","33","-2","-38","48","27","0.775024","0.625732","-0.068787","0.05426","0.015267","0.007634","-0.015267","1.856641","9.868189","2.045654","0.145947","0.435449","0.013159","0.068188","0.077759","0.446216"
"H","1617445719.3519924","7","33","1","-36","45","27","0.775269","0.625427","-0.069092","0.054199","0.015267","0.015267","-0.007634","1.893726","9.805982","2.052832","0.179443","0.375635","0.013159","0.111255","0.065796","0.394775"
"H","1617445719.341921","7","29","-1","-34","47","29","0.775452","0.625183","-0.069397","0.054016","0.015267","0.015267","-0.007634","1.927222","9.770093","2.06958","0.210547","0.340942","0.025122","0.147144","0.046655","0.369653"
"H","1617445719.3319025","7","31","-3","-36","45","27","0.775635","0.625","-0.069641","0.053833","0.007634","0.007634","-0.007634","1.922436","9.7677","2.071973","0.203369","0.33855","0.022729","0.141162","0.049048","0.366064"
"H","1617445719.3218594","7","31","7","-36","49","29","0.775635","0.624939","-0.069641","0.053772","-0.007634","-0.007634","-0.015267","1.881763","9.805982","2.055225","0.163892","0.378027","0.005981","0.095703","0.072974","0.393579"
"H","1617445719.312056","7","28","1","-39","43","28","0.775574","0.625","-0.06958","0.053955","-0.022901","-0.015267","-0.015267","1.830322","9.884936","2.032495","0.111255","0.456982","-0.014355","0.031104","0.110059","0.455786"
"H","1617445719.302075","7","35","0","-36","48","29","0.775391","0.625244","-0.069519","0.054199","-0.030534","-0.015267","-0.015267","1.798023","9.968677","2.025317","0.076563","0.539526","-0.016748","-0.015552","0.130396","0.52876"
"H","1617445719.2918377","7","32","-1","-48","47","29","0.775208","0.625488","-0.069458","0.054443","-0.030534","-0.007634","-0.007634","1.788452","10.039258","2.030102","0.0646","0.608911","-0.005981","-0.039478","0.133984","0.595752"
"H","1617445719.2818904","7","29","-3","-34","49","30","0.775024","0.625671","-0.069397","0.054565","-0.022901","0","0","1.808789","10.066772","2.034888","0.084937","0.636426","0.002393","-0.025122","0.131592","0.626855"
"H","1617445719.2720194","7","33","1","-36","48","27","0.774902","0.625793","-0.069397","0.054565","-0.007634","0.007634","0.007634","1.843481","10.061987","2.034888","0.119629","0.630444","0.005981","0.008374","0.12561","0.628052"
