timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world,Alphabet
1616135095.7142775,1,56.0,6.0,-6.0,-3.0,-5.0,0.821899,0.11731,-0.557251,-0.013306,-0.007634,-0.007634,0.0,8.858521,2.052832,3.307739,-0.087329,0.016748,-0.135181,0.088525,0.052637,-0.123218,hello
1616135095.7241187,1,56.0,5.0,-5.0,-6.0,-4.0,0.821899,0.117188,-0.557251,-0.013367,-0.015267,-0.007634,0.0,8.866895,2.040869,3.29458,-0.078955,0.005981,-0.14834,0.105273,0.043066,-0.122021,hello
1616135095.7339756,1,57.0,3.0,-4.0,-2.0,-2.0,0.821899,0.117126,-0.557312,-0.013367,-0.007634,0.0,0.0,8.863306,2.013355,3.269458,-0.08374,-0.019141,-0.173462,0.129199,0.023926,-0.141162,hello
1616135095.7443998,1,57.0,5.0,-6.0,0.0,-2.0,0.821899,0.117004,-0.557312,-0.013367,-0.007634,0.0,0.0,8.857325,1.973877,3.264673,-0.089722,-0.056226,-0.178247,0.135181,-0.008374,-0.155518,hello
1616135095.75414,1,60.0,7.0,-3.0,2.0,-1.0,0.821899,0.117004,-0.557251,-0.013306,0.0,0.0,0.0,8.850146,1.952344,3.256299,-0.095703,-0.077759,-0.187817,0.144751,-0.027515,-0.168677,hello
1616135095.764016,1,55.0,4.0,-4.0,-4.0,-1.0,0.82196,0.117004,-0.557251,-0.013245,0.0,0.0,0.0,8.845362,1.964307,3.256299,-0.101685,-0.0646,-0.189014,0.141162,-0.013159,-0.172266,hello
1616135095.7739468,1,56.0,4.0,-7.0,-2.0,-4.0,0.821899,0.117065,-0.557251,-0.013245,-0.007634,0.0,0.0,8.835791,1.987036,3.257495,-0.110059,-0.043066,-0.186621,0.133984,0.007178,-0.174658,hello
1616135095.784113,1,57.0,4.0,-4.0,-1.0,-6.0,0.821899,0.117004,-0.557312,-0.013245,-0.007634,0.0,0.0,8.84895,1.983447,3.273047,-0.098096,-0.045459,-0.169873,0.123218,0.0,-0.15791,hello
1616135095.7941935,1,57.0,5.0,-6.0,-1.0,-6.0,0.821899,0.116943,-0.557312,-0.013306,-0.007634,0.0,0.0,8.874072,1.967896,3.287402,-0.072974,-0.061011,-0.155518,0.120825,-0.020337,-0.132788,hello
1616135095.8040564,1,59.0,5.0,-1.0,0.0,-2.0,0.82196,0.116882,-0.557251,-0.013245,0.0,0.0,0.0,8.886035,1.954736,3.301758,-0.061011,-0.071777,-0.143555,0.11604,-0.034692,-0.120825,hello
1616135095.8140025,1,56.0,3.0,-6.0,-2.0,-6.0,0.82196,0.116943,-0.55719,-0.013245,0.0,0.0,-0.007634,8.887232,1.96311,3.301758,-0.058618,-0.0646,-0.143555,0.11604,-0.027515,-0.117236,hello
1616135095.8241534,1,56.0,-4.0,-5.0,-1.0,-3.0,0.822021,0.117004,-0.55719,-0.013245,0.0,0.0,-0.007634,8.877661,1.973877,3.308936,-0.068188,-0.055029,-0.137573,0.10647,-0.017944,-0.122021,hello
1616135095.8339648,1,56.0,5.0,-5.0,3.0,-1.0,0.822021,0.117004,-0.557129,-0.013245,-0.007634,0.0,-0.007634,8.877661,1.984644,3.311328,-0.068188,-0.044263,-0.136377,0.104077,-0.008374,-0.118433,hello
1616135095.844318,1,56.0,1.0,-6.0,-1.0,-3.0,0.822021,0.117004,-0.557129,-0.013306,-0.007634,0.0,-0.007634,8.875269,1.997803,3.306543,-0.069385,-0.0323,-0.141162,0.10647,0.003589,-0.119629,hello
1616135095.8540275,1,56.0,4.0,-5.0,-1.0,-6.0,0.822021,0.116943,-0.55719,-0.013367,-0.007634,0.0,-0.007634,8.871679,1.997803,3.300561,-0.07417,-0.0323,-0.145947,0.108862,0.004785,-0.12561,hello
1616135095.8642857,1,56.0,6.0,-4.0,-2.0,-5.0,0.822021,0.116882,-0.55719,-0.013428,-0.007634,0.0,-0.007634,8.870483,1.991821,3.301758,-0.075366,-0.037085,-0.144751,0.107666,0.0,-0.126807,hello
1616135095.8739667,1,59.0,5.0,-2.0,-3.0,-3.0,0.822021,0.116821,-0.55719,-0.013428,-0.007634,0.0,-0.007634,8.866895,1.983447,3.30415,-0.078955,-0.044263,-0.142358,0.105273,-0.004785,-0.130396,hello
1616135095.8839917,1,59.0,6.0,-4.0,-1.0,-3.0,0.822021,0.116821,-0.55719,-0.013428,0.0,0.0,-0.007634,8.865698,1.975073,3.312524,-0.080151,-0.052637,-0.133984,0.098096,-0.014355,-0.130396,hello
1616135095.8941772,1,57.0,4.0,-4.0,-4.0,-3.0,0.822021,0.116943,-0.55719,-0.013428,0.0,0.0,-0.007634,8.864502,1.98584,3.31731,-0.081348,-0.044263,-0.129199,0.092114,-0.007178,-0.128003,hello
1616135095.904063,1,56.0,3.0,-6.0,-3.0,-4.0,0.822021,0.117004,-0.557129,-0.013428,0.0,0.0,-0.007634,8.864502,2.001392,3.316113,-0.080151,-0.029907,-0.131592,0.093311,0.005981,-0.12561,hello
1616135095.9142368,1,59.0,3.0,-4.0,0.0,-5.0,0.82196,0.117065,-0.557129,-0.013428,0.0,0.0,-0.007634,8.865698,2.014551,3.313721,-0.078955,-0.017944,-0.132788,0.093311,0.017944,-0.122021,hello
1616135095.9239712,1,54.0,1.0,-4.0,-2.0,-3.0,0.82196,0.117065,-0.55719,-0.013489,-0.007634,0.0,-0.007634,8.866895,2.012158,3.290991,-0.077759,-0.020337,-0.154321,0.113647,0.019141,-0.129199,hello
1616135095.9340944,1,55.0,1.0,-8.0,-4.0,-4.0,0.82196,0.117004,-0.557251,-0.01355,-0.007634,0.0,-0.007634,8.870483,1.984644,3.268262,-0.075366,-0.047852,-0.177051,0.13877,-0.003589,-0.139966,hello
1616135095.9440472,1,56.0,1.0,-5.0,-4.0,-3.0,0.821899,0.117004,-0.557251,-0.013611,-0.007634,0.0,-0.007634,8.866895,1.949951,3.222803,-0.077759,-0.082544,-0.221313,0.181836,-0.028711,-0.165088,hello
1616135095.954036,1,59.0,8.0,-3.0,0.0,-1.0,0.821899,0.117004,-0.557312,-0.013611,0.0,0.0,-0.007634,8.853735,1.905689,3.16897,-0.092114,-0.126807,-0.27395,0.229687,-0.059814,-0.205762,hello
