"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"I","1617445790.2623477","7","59","44","44","42","-34","0.690186","-0.239502","-0.682312","-0.026917","0.038168","-0.007634","-0.030534","8.714966","-2.546899","-0.553882","-0.641211","0.332568","-0.104077","0.173462","0.069385","-0.704614"
"I","1617445790.252513","7","58","41","45","42","-31","0.690125","-0.240295","-0.682129","-0.026978","0.038168","-0.007634","-0.038168","8.71377","-2.616284","-0.631641","-0.640015","0.272754","-0.179443","0.22251","-0.010767","-0.681885"
"I","1617445790.2425191","7","57","43","45","46","-33","0.690002","-0.241211","-0.681946","-0.0271","0.045802","-0.007634","-0.038168","8.729321","-2.665332","-0.702222","-0.620874","0.234473","-0.246436","0.271558","-0.0646","-0.649585"
"I","1617445790.2325814","7","58","42","45","48","-36","0.68988","-0.242126","-0.681641","-0.027161","0.038168","-0.007634","-0.045802","8.759229","-2.709595","-0.75127","-0.586182","0.200977","-0.294287","0.305054","-0.102881","-0.604126"
"I","1617445790.222449","7","59","42","43","44","-30","0.68988","-0.243042","-0.681396","-0.027161","0.030534","-0.007634","-0.045802","8.789136","-2.735913","-0.77041","-0.552686","0.186621","-0.312231","0.319409","-0.113647","-0.567041"
"I","1617445790.2124605","7","59","41","45","43","-33","0.689941","-0.243774","-0.68103","-0.027161","0.022901","-0.015267","-0.038168","8.811865","-2.741894","-0.775195","-0.526367","0.191406","-0.319409","0.328979","-0.105273","-0.543115"
"I","1617445790.2031703","7","59","43","43","45","-36","0.690186","-0.244263","-0.680603","-0.027039","0.007634","-0.030534","-0.030534","8.810669","-2.694043","-0.73811","-0.525171","0.248828","-0.288306","0.320605","-0.043066","-0.56106"
"I","1617445790.1923728","7","59","45","42","44","-32","0.690613","-0.244629","-0.680054","-0.026917","-0.007634","-0.053435","-0.022901","8.744873","-2.64021","-0.691455","-0.588574","0.312231","-0.253613","0.30625","0.004785","-0.642407"
"I","1617445790.1825588","7","59","43","44","7","5","0.691284","-0.244751","-0.679321","-0.026855","-0.007634","-0.061069","-0.015267","8.647974","-2.615088","-0.642407","-0.684277","0.343335","-0.22251","0.281128","0.015552","-0.745288"
"I","1617445790.1724646","7","67","43","46","54","-16","0.692078","-0.244812","-0.678528","-0.026917","-0.007634","-0.061069","-0.007634","8.6073","-2.599536","-0.582593","-0.724951","0.362476","-0.184229","0.247632","0.034692","-0.791943"
"I","1617445790.1625836","7","59","41","45","48","-34","0.692871","-0.244751","-0.677734","-0.026978","-0.015267","-0.061069","-0.007634","8.619263","-2.578003","-0.520386","-0.712988","0.386401","-0.143555","0.217725","0.075366","-0.789551"
"I","1617445790.1525102","7","59","44","48","46","-33","0.693542","-0.244629","-0.677063","-0.026978","-0.015267","-0.053435","-0.007634","8.637207","-2.572021","-0.465356","-0.695044","0.394775","-0.10647","0.186621","0.101685","-0.776392"
"I","1617445790.142475","7","61","41","42","45","-33","0.694214","-0.244507","-0.676392","-0.026917","-0.022901","-0.053435","-0.007634","8.646777","-2.604321","-0.455786","-0.685474","0.364868","-0.11604","0.184229","0.075366","-0.758447"
"I","1617445790.1325266","7","62","44","45","46","-37","0.694824","-0.244385","-0.675842","-0.026794","-0.022901","-0.038168","-0.007634","8.716162","-2.656958","-0.449805","-0.616089","0.31582","-0.12561","0.179443","0.049048","-0.678296"
"I","1617445790.1225295","7","57","43","44","43","-34","0.695312","-0.244263","-0.675415","-0.026611","-0.030534","-0.030534","-0.015267","8.81665","-2.720361","-0.425879","-0.514404","0.256006","-0.114844","0.155518","0.031104","-0.563452"
"I","1617445790.1124768","7","57","43","44","46","-35","0.69574","-0.244141","-0.674988","-0.026245","-0.030534","-0.022901","-0.015267","8.902783","-2.795727","-0.399561","-0.427075","0.185425","-0.100488","0.123218","0","-0.459375"
"I","1617445790.1025438","7","57","41","45","46","-35","0.696106","-0.24408","-0.674683","-0.02594","-0.022901","-0.030534","-0.015267","8.969775","-2.887842","-0.38042","-0.358887","0.098096","-0.090918","0.087329","-0.052637","-0.368457"
"I","1617445790.0924256","7","58","43","45","47","-31","0.696594","-0.243958","-0.674255","-0.025635","-0.030534","-0.030534","-0.015267","9.012842","-3.013452","-0.368457","-0.314624","-0.020337","-0.090918","0.047852","-0.143555","-0.290698"
"I","1617445790.0825322","7","61","44","42","46","-32","0.69696","-0.243774","-0.673889","-0.02533","-0.030534","-0.022901","-0.015267","9.066675","-3.066089","-0.312231","-0.259595","-0.070581","-0.045459","-0.005981","-0.154321","-0.223706"
"I","1617445790.0725002","7","59","41","46","47","-33","0.697449","-0.243408","-0.673584","-0.025024","-0.045802","-0.030534","-0.007634","9.090601","-3.082837","-0.240454","-0.235669","-0.084937","0.013159","-0.063403","-0.13877","-0.198584"
"I","1617445790.062641","7","56","43","43","45","-34","0.697937","-0.24292","-0.673279","-0.024658","-0.053435","-0.030534","0","9.065478","-3.090015","-0.165088","-0.261987","-0.092114","0.075366","-0.126807","-0.129199","-0.22251"
"I","1617445790.0523894","7","56","39","44","44","-37","0.698425","-0.242249","-0.672974","-0.024353","-0.061069","-0.030534","0.007634","9.03916","-3.093604","-0.099292","-0.288306","-0.098096","0.126807","-0.179443","-0.123218","-0.246436"
"I","1617445790.0425332","7","57","42","46","46","-36","0.698914","-0.241394","-0.672791","-0.023987","-0.061069","-0.022901","0.007634","9.035571","-3.075659","-0.046655","-0.293091","-0.084937","0.16748","-0.212939","-0.098096","-0.256006"
"I","1617445790.032487","7","59","43","44","46","-33","0.69928","-0.24054","-0.672791","-0.02356","-0.061069","-0.007634","0.007634","9.035571","-3.044556","0.001196","-0.29668","-0.057422","0.205762","-0.239258","-0.061011","-0.269165"
"I","1617445790.022534","7","56","44","42","44","-11","0.699463","-0.239746","-0.672852","-0.023132","-0.053435","-0.007634","0.015267","9.009253","-3.029004","0.04187","-0.322998","-0.046655","0.24165","-0.270361","-0.045459","-0.297876"
"I","1617445790.0126054","7","58","43","46","44","-35","0.699585","-0.239014","-0.672974","-0.022827","-0.045802","0","0.015267","8.968579","-3.02063","0.061011","-0.366064","-0.044263","0.257202","-0.288306","-0.050244","-0.339746"
