"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"J","1617445956.5298808","7","45","49","50","25","-15","0.437439","0.691467","-0.247742","0.518677","0.038168","-0.083969","0","8.963794","2.886646","-0.791943","-0.189014","-0.522778","-0.015552","0.343335","0.250024","-0.356494"
"J","1617445956.519986","7","51","52","52","25","-23","0.438416","0.69043","-0.247314","0.519409","0.022901","-0.114504","0.007634","8.669507","2.716773","-0.687866","-0.484497","-0.697437","0.055029","0.418701","0.240454","-0.698633"
"J","1617445956.5097947","7","49","53","52","26","-24","0.439453","0.689331","-0.246277","0.520569","-0.007634","-0.152672","0.015267","8.257983","2.618677","-0.568237","-0.896021","-0.805103","0.133984","0.406738","0.174658","-1.126904"
"J","1617445956.4998016","7","51","53","53","27","-24","0.440247","0.688171","-0.244812","0.522095","-0.038168","-0.160305","0.015267","7.790235","2.5146","-0.436646","-1.36377","-0.917554","0.220117","0.384009","0.094507","-1.609009"
"J","1617445956.4897158","7","49","49","52","26","-25","0.440613","0.687195","-0.243042","0.523926","-0.068702","-0.145038","0.007634","7.400244","2.387793","-0.256006","-1.754956","-1.050342","0.35769","0.43186","-0.013159","-2.030102"
"J","1617445956.479609","7","48","49","54","30","-23","0.440613","0.686523","-0.241394","0.525574","-0.083969","-0.114504","0","7.074853","2.228687","-0.068188","-2.081543","-1.213037","0.512012","0.534741","-0.112451","-2.400952"
"J","1617445956.4698029","7","51","51","53","25","-24","0.440186","0.686218","-0.239868","0.526978","-0.091603","-0.083969","0.007634","6.806885","2.034888","0.132788","-2.349512","-1.406836","0.690259","0.695044","-0.208154","-2.728735"
"J","1617445956.4599671","7","49","52","53","27","-25","0.439575","0.686401","-0.238525","0.527893","-0.083969","-0.053435","0.007634","6.549683","1.777686","0.301465","-2.606714","-1.667627","0.850561","0.900806","-0.250024","-3.069678"
"J","1617445956.4497693","7","43","53","52","26","-24","0.438904","0.686768","-0.237427","0.528442","-0.068702","-0.038168","0.007634","6.225488","1.417603","0.409131","-2.929712","-2.030102","0.958228","1.136475","-0.202173","-3.505127"
"J","1617445956.439689","7","50","49","52","30","-23","0.438354","0.687195","-0.236511","0.528748","-0.061069","-0.038168","0.022901","5.817554","0.97019","0.44502","-3.335254","-2.4823","0.997705","1.378125","-0.061011","-4.04585"
"J","1617445956.4298124","7","49","50","49","25","-24","0.438049","0.687744","-0.235352","0.528809","-0.076336","-0.038168","0.045802","5.385694","0.510815","0.440234","-3.762329","-2.953638","0.996509","1.601831","0.118433","-4.612891"
"J","1617445956.4196873","7","49","29","53","25","-24","0.437805","0.688599","-0.233643","0.528687","-0.114504","-0.022901","0.068702","4.940674","0.147144","0.393579","-4.198975","-3.340039","0.957031","1.728638","0.288306","-5.159595"
"J","1617445956.4097023","7","47","52","52","28","-24","0.437317","0.690002","-0.231262","0.528198","-0.175573","0.022901","0.091603","4.610498","-0.081348","0.327783","-4.514795","-3.60083","0.90918","1.778882","0.421094","-5.550781"
"J","1617445956.3998797","7","49","53","52","26","-25","0.436096","0.692505","-0.228516","0.527222","-0.251908","0.099237","0.10687","4.42627","-0.153125","0.220117","-4.682275","-3.710889","0.843384","1.738208","0.527563","-5.752954"
"J","1617445956.389733","7","48","52","52","27","-23","0.434021","0.696228","-0.225403","0.525391","-0.305344","0.175573","0.122137","4.322192","-0.080151","0.040674","-4.763623","-3.680981","0.736914","1.579102","0.62207","-5.821143"
"J","1617445956.3803766","7","50","48","37","25","-23","0.431274","0.700989","-0.222107","0.522705","-0.335878","0.251908","0.183206","4.270752","0.08374","-0.238062","-4.787549","-3.566138","0.559863","1.321899","0.750073","-5.798413"
"J","1617445956.369775","7","51","53","52","26","-23","0.428467","0.706726","-0.218506","0.518799","-0.343511","0.335878","0.259542","4.377222","0.340942","-0.552686","-4.643994","-3.371143","0.372046","1.041968","0.870898","-5.58667"
"J","1617445956.359874","7","48","49","52","27","-23","0.426086","0.713318","-0.214478","0.513367","-0.320611","0.389313","0.343511","4.512403","0.665137","-0.91875","-4.45498","-3.133081","0.155518","0.717773","0.991724","-5.307935"
"J","1617445956.3505635","7","49","51","52","27","-24","0.424561","0.720337","-0.209778","0.506714","-0.305344","0.40458","0.450382","4.536328","1.071875","-1.39248","-4.362866","-2.838794","-0.15791","0.253613","1.136475","-5.074658"
"J","1617445956.340405","7","46","53","52","27","-18","0.424194","0.727417","-0.203979","0.499207","-0.305344","0.40458","0.557252","4.453784","1.643701","-1.882959","-4.359277","-2.40813","-0.495264","-0.362476","1.193897","-4.844971"
"J","1617445956.330486","7","48","52","52","27","-26","0.424622","0.734741","-0.196716","0.490967","-0.343511","0.419847","0.664122","4.373633","2.495459","-2.29209","-4.332959","-1.726245","-0.75127","-1.105371","1.028809","-4.475317"
"J","1617445956.320444","7","49","52","53","25","-23","0.425232","0.742493","-0.188049","0.482056","-0.396947","0.435115","0.740458","4.273145","3.619971","-2.613892","-4.309033","-0.790747","-0.913965","-1.96311","0.628052","-3.970483"
"J","1617445956.3105166","7","51","52","52","28","-25","0.425415","0.750671","-0.178589","0.472839","-0.435115","0.458015","0.801527","4.146338","4.837793","-2.898608","-4.299463","0.233276","-1.027612","-2.831616","0.118433","-3.398657"
"J","1617445956.3005571","7","50","52","54","25","-23","0.425171","0.759033","-0.168701","0.463196","-0.435115","0.496183","0.854962","4.124804","5.910864","-3.160596","-4.17146","1.116138","-1.10896","-3.489575","-0.333765","-2.752661"
"J","1617445956.2904534","7","49","56","49","27","-25","0.424927","0.767578","-0.158813","0.452698","-0.396947","0.534351","0.900763","4.197778","6.763818","-3.435742","-3.934595","1.780078","-1.191504","-3.908276","-0.651978","-2.086328"
"J","1617445956.280552","7","51","52","54","-4","-24","0.425171","0.77594","-0.148865","0.441406","-0.358779","0.549618","0.946565","4.243237","7.501929","-3.741992","-3.709692","2.323193","-1.305151","-4.23606","-0.881665","-1.458276"
"J","1617445956.2705648","7","48","49","53","28","-25","0.426086","0.783936","-0.138672","0.429626","-0.328244","0.541985","1","4.250415","8.273535","-3.980054","-3.508716","2.893823","-1.356592","-4.51958","-1.184326","-0.825439"
"J","1617445956.2606068","7","51","51","51","25","-25","0.427612","0.791443","-0.12793","0.417542","-0.305344","0.519084","1.038168","4.219312","9.144434","-4.104468","-3.329273","3.557764","-1.305151","-4.769605","-1.631738","-0.163892"
"J","1617445956.250483","7","48","53","52","29","-24","0.429504","0.79834","-0.117004","0.405396","-0.259542","0.503817","1.053435","4.197778","9.961499","-4.09729","-3.129492","4.170264","-1.135278","-4.866504","-2.135376","0.466553"
"J","1617445956.2407117","7","48","49","53","28","-24","0.43158","0.80481","-0.106201","0.393311","-0.221374","0.473282","1.045802","4.127197","10.639795","-4.057813","-2.975171","4.649976","-0.940283","-4.868896","-2.581592","0.984546"
"J","1617445956.2304242","7","50","49","52","26","-23","0.433777","0.810608","-0.09552","0.38147","-0.198473","0.435115","1.030534","3.934595","11.170947","-4.067383","-2.938086","4.99331","-0.807495","-4.886841","-2.912964","1.355396"
"J","1617445956.220626","7","49","54","52","28","-15","0.435913","0.815857","-0.085083","0.370056","-0.167939","0.419847","1.015267","3.709692","11.58606","-4.124804","-2.934497","5.232568","-0.734522","-4.890429","-3.137866","1.655664"
"J","1617445956.2105477","7","49","52","52","28","-23","0.438232","0.820618","-0.074951","0.358887","-0.137405","0.40458","1","3.524268","11.873169","-4.204956","-2.891431","5.351001","-0.693848","-4.817456","-3.251514","1.915259"
