"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"K","1617446024.4618948","7","-3","-1","-10","85","15","0.672485","0.011169","-0.736633","-0.07074","-0.007634","0","-0.007634","9.421972","1.159204","-0.861328","-0.271558","-0.008374","-0.022729","0.046655","0.019141","-0.266772"
"K","1617446024.4518237","7","-1","0","-8","46","12","0.672424","0.011047","-0.736694","-0.070679","0","0.007634","-0.007634","9.475805","1.126904","-0.86731","-0.217725","-0.038281","-0.027515","0.044263","-0.015552","-0.216528"
"K","1617446024.4417443","7","-1","-1","-10","50","16","0.672302","0.010925","-0.736816","-0.070618","0.007634","0.007634","-0.007634","9.516479","1.081445","-0.887646","-0.177051","-0.081348","-0.044263","0.053833","-0.0646","-0.18064"
"K","1617446024.4320276","7","1","0","-9","52","16","0.67218","0.010742","-0.736938","-0.07074","0.007634","0.007634","-0.007634","9.532031","1.046753","-0.917554","-0.161499","-0.11604","-0.070581","0.075366","-0.102881","-0.166284"
"K","1617446024.421767","7","3","1","-7","51","15","0.672119","0.010681","-0.737","-0.070862","0","0","-0.007634","9.548779","1.045557","-0.945068","-0.144751","-0.118433","-0.096899","0.100488","-0.108862","-0.14834"
"K","1617446024.411888","7","1","1","-6","48","12","0.672058","0.01062","-0.737","-0.070923","0","0","-0.007634","9.546387","1.056323","-0.965405","-0.145947","-0.107666","-0.11604","0.119629","-0.100488","-0.145947"
"K","1617446024.4019003","7","1","-1","-7","48","13","0.672058","0.01062","-0.737","-0.070984","-0.007634","0","-0.007634","9.540405","1.074268","-0.978564","-0.151929","-0.090918","-0.129199","0.135181","-0.08374","-0.149536"
"K","1617446024.3918717","7","1","-3","-11","47","11","0.672119","0.010681","-0.737","-0.070984","-0.007634","0","0","9.553564","1.100586","-0.973779","-0.139966","-0.0646","-0.12561","0.132788","-0.058618","-0.135181"
"K","1617446024.3817894","7","0","1","-9","43","14","0.672119","0.010864","-0.737","-0.070923","-0.015267","0","0","9.564331","1.130493","-0.954639","-0.129199","-0.037085","-0.10647","0.114844","-0.031104","-0.122021"
"K","1617446024.371834","7","0","-1","-12","48","14","0.672119","0.010925","-0.737","-0.070923","-0.007634","0","0","9.554761","1.15083","-0.939087","-0.13877","-0.016748","-0.090918","0.101685","-0.008374","-0.130396"
"K","1617446024.361895","7","1","1","-8","50","13","0.672119","0.010986","-0.737","-0.070862","-0.007634","0","-0.007634","9.557154","1.152026","-0.91875","-0.136377","-0.015552","-0.070581","0.081348","-0.005981","-0.130396"
"K","1617446024.352072","7","3","3","-6","48","13","0.672119","0.010925","-0.737","-0.070862","0","0","-0.007634","9.581079","1.172363","-0.898413","-0.112451","0.004785","-0.050244","0.061011","0.011963","-0.105273"
"K","1617446024.3425632","7","1","0","-5","50","16","0.672058","0.010864","-0.737061","-0.070862","0","0","-0.007634","9.593042","1.178345","-0.881665","-0.100488","0.010767","-0.031104","0.040674","0.017944","-0.094507"
"K","1617446024.3319218","7","1","-1","-10","47","15","0.671997","0.010803","-0.737061","-0.070801","-0.007634","-0.007634","-0.007634","9.572705","1.175952","-0.864917","-0.119629","0.010767","-0.014355","0.026318","0.021533","-0.114844"
"K","1617446024.3225312","7","3","3","-8","48","17","0.672058","0.010742","-0.737061","-0.070679","-0.007634","-0.007634","-0.007634","9.522461","1.163989","-0.863721","-0.171069","0.001196","-0.013159","0.028711","0.017944","-0.16748"
