"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"L","1617446078.8715284","7","-38","4","52","50","21","0.772095","-0.324158","-0.541443","-0.075012","-0.007634","-0.022901","0.007634","8.145533","-3.805396","2.020532","-0.523975","0.303857","0.025122","-0.088525","0.126807","-0.584985"
"L","1617446078.8613274","7","-36","1","49","51","23","0.772217","-0.324036","-0.541321","-0.075195","-0.007634","-0.015267","0.007634","8.17544","-3.81377","2.046851","-0.495264","0.291895","0.047852","-0.100488","0.13877","-0.550293"
"L","1617446078.851229","7","-42","3","52","51","21","0.772278","-0.323914","-0.541321","-0.075378","-0.007634","-0.015267","0.007634","8.207739","-3.798218","2.080347","-0.46416","0.303857","0.078955","-0.10647","0.173462","-0.521582"
"L","1617446078.8413415","7","-36","1","53","52","24","0.772278","-0.323853","-0.54126","-0.075439","-0.007634","-0.007634","0","8.232862","-3.787451","2.107861","-0.437842","0.313428","0.105273","-0.112451","0.202173","-0.49646"
"L","1617446078.8313289","7","-37","4","50","53","20","0.772339","-0.323853","-0.54126","-0.0755","-0.007634","-0.015267","0","8.24602","-3.804199","2.106665","-0.425879","0.29668","0.102881","-0.113647","0.19021","-0.479712"
"L","1617446078.8212829","7","-37","3","48","46","20","0.772339","-0.323792","-0.54126","-0.0755","-0.015267","-0.007634","0","8.257983","-3.826929","2.088721","-0.413916","0.272754","0.084937","-0.105273","0.163892","-0.462964"
"L","1617446078.8115642","7","-37","6","50","52","21","0.772339","-0.32373","-0.54126","-0.075439","-0.015267","-0.007634","-0.007634","8.269946","-3.838892","2.057617","-0.401953","0.260791","0.053833","-0.081348","0.139966","-0.453394"
"L","1617446078.8014164","7","-36","6","52","54","23","0.772339","-0.32373","-0.541321","-0.075317","-0.007634","-0.007634","-0.007634","8.277124","-3.859229","2.014551","-0.394775","0.24165","0.010767","-0.053833","0.101685","-0.447412"
"L","1617446078.7915435","7","-35","1","50","52","24","0.772339","-0.323792","-0.541321","-0.075195","0","0","-0.007634","8.269946","-3.89751","1.954736","-0.400757","0.205762","-0.046655","-0.027515","0.038281","-0.449805"
"L","1617446078.781433","7","-35","3","51","54","24","0.772217","-0.323914","-0.541382","-0.075073","0","0.007634","-0.015267","8.275928","-3.941772","1.887744","-0.393579","0.163892","-0.110059","0.003589","-0.028711","-0.439038"
