"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"M","1617446165.2190115","7","43","36","17","24","58","0.662537","-0.062744","-0.742493","-0.076294","-0.015267","-0.007634","-0.007634","9.521265","0.284717","-1.050342","-0.214136","-0.010767","0.031104","-0.007178","-0.002393","-0.215332"
"M","1617446165.2099333","7","43","36","21","24","58","0.662598","-0.062622","-0.742432","-0.076111","-0.015267","-0.015267","-0.007634","9.517675","0.311035","-1.03479","-0.216528","0.016748","0.045459","-0.015552","0.026318","-0.218921"
"M","1617446165.1999204","7","41","37","20","25","57","0.66272","-0.0625","-0.742432","-0.075867","-0.015267","-0.015267","-0.007634","9.509302","0.297876","-1.04436","-0.227295","0.004785","0.034692","-0.005981","0.013159","-0.228491"
"M","1617446165.1896627","7","42","38","22","23","58","0.662781","-0.062561","-0.74231","-0.075684","0","-0.007634","-0.015267","9.497339","0.238062","-1.073071","-0.238062","-0.050244","0.003589","0.013159","-0.046655","-0.238062"
"M","1617446165.1791315","7","39","35","21","23","58","0.662903","-0.062805","-0.742249","-0.075562","0","-0.007634","-0.022901","9.508105","0.173462","-1.100586","-0.228491","-0.108862","-0.025122","0.028711","-0.110059","-0.227295"
"M","1617446165.1691043","7","43","36","19","35","58","0.662903","-0.063049","-0.742249","-0.0755","0","0","-0.022901","9.543994","0.123218","-1.10896","-0.192603","-0.155518","-0.0323","0.022729","-0.156714","-0.191406"
"M","1617446165.1597517","7","41","38","21","25","58","0.662842","-0.063293","-0.742249","-0.075439","0","0","-0.022901","9.575098","0.108862","-1.106567","-0.161499","-0.166284","-0.028711","0.013159","-0.16748","-0.161499"
"M","1617446165.149837","7","39","39","19","25","58","0.662781","-0.063477","-0.74231","-0.075378","0","0","-0.015267","9.555957","0.096899","-1.107764","-0.18064","-0.174658","-0.028711","0.014355","-0.175854","-0.18064"
"M","1617446165.1399648","7","48","36","20","25","58","0.662781","-0.06366","-0.742249","-0.075378","0","0","-0.015267","9.52605","0.108862","-1.102978","-0.209351","-0.160303","-0.023926","0.015552","-0.160303","-0.209351"
"M","1617446165.1297653","7","39","35","17","23","58","0.662781","-0.06366","-0.742249","-0.075378","-0.007634","0","-0.007634","9.510498","0.141162","-1.091016","-0.224902","-0.128003","-0.011963","0.011963","-0.12561","-0.224902"
"M","1617446165.1197808","7","42","35","18","20","58","0.662781","-0.06366","-0.74231","-0.075378","-0.007634","0","0","9.49375","0.184229","-1.088623","-0.242847","-0.084937","-0.008374","0.019141","-0.082544","-0.24165"
"M","1617446165.1098323","7","40","33","20","22","57","0.662781","-0.063538","-0.74231","-0.075439","-0.007634","0","0","9.471021","0.214136","-1.091016","-0.265576","-0.057422","-0.011963","0.029907","-0.056226","-0.263184"
"M","1617446165.0989442","7","40","37","21","23","58","0.662781","-0.063416","-0.74231","-0.0755","-0.007634","0","0","9.442309","0.248828","-1.092212","-0.294287","-0.025122","-0.013159","0.040674","-0.025122","-0.290698"
"M","1617446165.0891376","7","40","36","18","20","57","0.66272","-0.063354","-0.742371","-0.075562","0","0","0","9.418384","0.257202","-1.095801","-0.318213","-0.019141","-0.015552","0.046655","-0.019141","-0.314624"
"M","1617446165.0798757","7","40","36","20","25","58","0.662598","-0.063293","-0.742432","-0.075684","0","0.007634","0","9.411206","0.265576","-1.102978","-0.324194","-0.013159","-0.020337","0.053833","-0.014355","-0.319409"
"M","1617446165.0697818","7","39","32","15","25","57","0.662476","-0.063293","-0.742554","-0.075745","0","0.007634","0","9.400439","0.275146","-1.104175","-0.334961","-0.004785","-0.017944","0.053833","-0.005981","-0.330176"
"M","1617446165.0598345","7","43","37","19","25","58","0.662354","-0.063293","-0.742676","-0.075867","0","0.007634","0","9.38728","0.283521","-1.112549","-0.34812","0","-0.022729","0.061011","-0.001196","-0.342139"
"M","1617446165.0499594","7","41","36","18","23","58","0.662231","-0.063293","-0.742798","-0.075989","0","0.007634","0","9.378906","0.288306","-1.123315","-0.356494","0.002393","-0.031104","0.070581","-0.001196","-0.350513"
"M","1617446165.0398855","7","40","33","21","22","58","0.662048","-0.063232","-0.742859","-0.076111","0","0.007634","0","9.368139","0.303857","-1.128101","-0.364868","0.015552","-0.0323","0.076563","0.010767","-0.35769"
"M","1617446165.0297797","7","41","33","20","25","57","0.661987","-0.063171","-0.742981","-0.076172","-0.007634","0","0.007634","9.353785","0.328979","-1.125708","-0.38042","0.038281","-0.027515","0.077759","0.034692","-0.373242"
"M","1617446165.0198472","7","40","36","16","20","57","0.661926","-0.06311","-0.742981","-0.076233","-0.007634","0","0","9.352588","0.345728","-1.123315","-0.38042","0.053833","-0.025122","0.078955","0.050244","-0.373242"
"M","1617446165.0098217","7","40","33","18","23","57","0.661865","-0.063049","-0.743042","-0.076233","0","0","0","9.368139","0.33855","-1.111353","-0.364868","0.045459","-0.010767","0.061011","0.044263","-0.358887"
"M","1617446164.999838","7","41","37","27","25","58","0.661804","-0.063049","-0.743103","-0.076294","0","0","0","9.382495","0.325391","-1.102978","-0.350513","0.031104","-0.001196","0.047852","0.0323","-0.346924"
"M","1617446164.989887","7","41","35","18","22","58","0.661743","-0.06311","-0.743164","-0.076294","0","0","-0.007634","9.407618","0.317017","-1.100586","-0.325391","0.023926","0.002393","0.039478","0.025122","-0.321802"
"M","1617446164.979947","7","42","36","17","25","66","0.661743","-0.063171","-0.743164","-0.076294","0","0","-0.007634","9.420776","0.305054","-1.098193","-0.312231","0.011963","0.004785","0.033496","0.014355","-0.309839"
"M","1617446164.9697492","7","40","37","20","25","58","0.661743","-0.063232","-0.743164","-0.076233","0","-0.007634","-0.007634","9.431543","0.295483","-1.098193","-0.301465","0.004785","0.004785","0.031104","0.007178","-0.299072"
"M","1617446164.960098","7","41","36","20","24","58","0.661743","-0.063293","-0.743164","-0.076233","0","-0.007634","-0.007634","9.421972","0.259595","-1.105371","-0.311035","-0.028711","-0.001196","0.031104","-0.025122","-0.308643"
