"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"N","1617446207.1727874","7","48","29","11","62","13","0.713196","0.184265","-0.674683","-0.046509","-0.007634","-0.007634","0.015267","9.2521","3.153418","0.143555","-0.010767","-0.037085","-0.068188","0.071777","-0.016748","-0.022729"
"N","1617446207.162355","7","48","31","12","68","52","0.713257","0.184509","-0.674561","-0.046753","-0.007634","-0.007634","0.015267","9.258081","3.20127","0.168677","-0.002393","0.003589","-0.044263","0.04187","0.011963","-0.001196"
"N","1617446207.1521206","7","52","33","14","67","48","0.713257","0.184814","-0.674438","-0.046875","-0.015267","-0.007634","0.015267","9.254492","3.256299","0.197388","-0.003589","0.052637","-0.016748","0.005981","0.052637","0.013159"
"N","1617446207.1427348","7","51","32","13","62","49","0.713318","0.18512","-0.674316","-0.046997","-0.015267","-0.015267","0.015267","9.259277","3.310132","0.218921","0.001196","0.100488","0.002393","-0.020337","0.092114","0.033496"
"N","1617446207.1327116","7","49","31","12","76","51","0.713379","0.185425","-0.674133","-0.046997","-0.015267","-0.015267","0.015267","9.260473","3.323291","0.224902","0.004785","0.108862","0.005981","-0.025122","0.098096","0.039478"
"N","1617446207.1220665","7","50","32","12","70","49","0.713501","0.185669","-0.67395","-0.046997","-0.007634","-0.015267","0.007634","9.278418","3.329273","0.236865","0.023926","0.111255","0.014355","-0.0323","0.092114","0.058618"
"N","1617446207.112171","7","48","28","14","71","52","0.713623","0.18573","-0.673828","-0.046997","0","-0.015267","0","9.291577","3.32688","0.246436","0.037085","0.107666","0.021533","-0.037085","0.082544","0.070581"
"N","1617446207.1020038","7","52","31","13","71","52","0.713745","0.185669","-0.673706","-0.047058","0.007634","-0.015267","0","9.31311","3.281421","0.236865","0.058618","0.062207","0.008374","-0.014355","0.037085","0.075366"
"N","1617446207.092911","7","50","30","12","64","49","0.713867","0.185547","-0.673584","-0.047241","0.015267","-0.007634","0","9.348999","3.257495","0.220117","0.095703","0.037085","-0.011963","0.013159","0.005981","0.101685"
"N","1617446207.082751","7","51","32","14","68","53","0.713928","0.185425","-0.673523","-0.047485","0.007634","-0.007634","0","9.366943","3.27544","0.209351","0.114844","0.053833","-0.025122","0.023926","0.017944","0.124414"
"N","1617446207.072741","7","51","29","15","66","51","0.71405","0.185364","-0.673401","-0.047668","0.007634","-0.007634","0","9.365747","3.305347","0.208154","0.113647","0.081348","-0.029907","0.023926","0.044263","0.132788"
"N","1617446207.062729","7","49","33","14","70","49","0.714111","0.185303","-0.67334","-0.047913","0.007634","-0.007634","0.007634","9.368139","3.334058","0.211743","0.117236","0.107666","-0.027515","0.016748","0.066992","0.144751"
"N","1617446207.052102","7","50","35","14","42","55","0.714172","0.185242","-0.673279","-0.048096","0.007634","-0.007634","0.007634","9.362158","3.363965","0.218921","0.111255","0.135181","-0.022729","0.007178","0.093311","0.14834"
