"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"O","1617446268.7389455","7","51","43","36","42","28","0.848328","-0.000427","-0.525513","-0.065063","0","0","-0.007634","8.518774","0.635229","4.173852","-0.218921","-0.027515","-0.212939","0.089722","-0.016748","-0.291895"
"O","1617446268.7289362","7","49","43","36","44","27","0.848267","-0.000427","-0.525513","-0.065063","-0.007634","0","-0.007634","8.539111","0.642407","4.159497","-0.198584","-0.020337","-0.226099","0.111255","-0.013159","-0.278735"
"O","1617446268.7188563","7","50","41","40","55","26","0.848206","-0.000366","-0.525635","-0.065002","-0.007634","0.007634","-0.007634","8.56543","0.651978","4.159497","-0.173462","-0.010767","-0.223706","0.122021","-0.005981","-0.25481"
"O","1617446268.708888","7","53","43","35","46","26","0.848145","-0.000305","-0.525757","-0.064941","-0.007634","0.007634","-0.007634","8.598926","0.66394","4.167871","-0.141162","0","-0.214136","0.128003","0","-0.221313"
"O","1617446268.699228","7","54","45","37","43","26","0.848083","-0.000305","-0.525879","-0.06488","-0.007634","0.007634","-0.007634","8.614477","0.667529","4.1906","-0.126807","0.003589","-0.189014","0.112451","0.003589","-0.196191"
"O","1617446268.688907","7","54","44","40","46","29","0.848022","-0.000305","-0.52594","-0.064819","-0.007634","0","-0.007634","8.608496","0.667529","4.201367","-0.132788","0.003589","-0.175854","0.098096","0.005981","-0.196191"
"O","1617446268.6789749","7","53","42","35","46","28","0.848022","-0.000305","-0.52594","-0.064819","0","0","-0.007634","8.604907","0.66394","4.220508","-0.136377","0","-0.156714","0.078955","0.003589","-0.191406"
"O","1617446268.669026","7","52","43","36","42","9","0.848083","-0.000366","-0.525879","-0.064819","0","-0.007634","-0.007634","8.592944","0.657959","4.225293","-0.14834","-0.003589","-0.153125","0.070581","0.001196","-0.200977"
"O","1617446268.658995","7","51","43","36","42","26","0.848083","-0.000427","-0.525818","-0.064819","0","-0.007634","0","8.600122","0.65437","4.232471","-0.139966","-0.005981","-0.147144","0.068188","0","-0.19021"
"O","1617446268.649099","7","51","42","38","41","27","0.848145","-0.000427","-0.525757","-0.064819","-0.007634","-0.007634","0","8.614477","0.660352","4.248023","-0.12561","0","-0.132788","0.062207","0.003589","-0.171069"
