"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"P","1617446330.0673664","7","-10","0","-1","46","31","0.979614","0.172668","-0.081848","-0.061157","-0.015267","-0.022901","0","1.409229","3.584082","9.207837","0.044263","0.169873","0.124414","0.035889","0.110059","0.18064"
"P","1617446330.0574718","7","-10","0","-1","52","29","0.979614","0.172913","-0.081482","-0.061096","-0.022901","-0.022901","0","1.37334","3.636719","9.236547","0.015552","0.218921","0.153125","0.007178","0.150732","0.220117"
"P","1617446330.0474734","7","-8","-2","-1","44","30","0.979614","0.173096","-0.081177","-0.061096","-0.015267","-0.022901","0","1.348218","3.664233","9.262866","-0.002393","0.242847","0.179443","-0.011963","0.16748","0.250024"
"P","1617446330.03725","7","-10","0","-1","46","32","0.979614","0.173279","-0.080872","-0.061096","-0.015267","-0.015267","0","1.354199","3.679785","9.273633","0.008374","0.25481","0.19021","-0.002393","0.173462","0.265576"
"P","1617446330.0274577","7","-8","-1","-1","47","29","0.979614","0.17334","-0.080688","-0.061157","-0.007634","-0.015267","0","1.367358","3.663037","9.301147","0.025122","0.238062","0.217725","0.007178","0.145947","0.288306"
"P","1617446330.017517","7","-8","-1","-1","45","31","0.979614","0.17334","-0.080566","-0.061218","-0.007634","-0.015267","0","1.393677","3.654663","9.325073","0.053833","0.229687","0.24165","0.029907","0.12561","0.311035"
"P","1617446330.0073292","7","-9","0","-1","48","29","0.979614","0.173462","-0.080383","-0.061279","-0.015267","-0.015267","0","1.41521","3.661841","9.360962","0.080151","0.234473","0.277539","0.050244","0.114844","0.349316"
"P","1617446329.997487","7","-9","1","-1","44","30","0.979614","0.173584","-0.0802","-0.061279","-0.015267","-0.015267","0","1.423584","3.68457","9.400439","0.092114","0.25481","0.317017","0.056226","0.118433","0.394775"
"P","1617446329.9872944","7","-10","0","-1","48","29","0.979614","0.173706","-0.080017","-0.061218","-0.015267","-0.015267","0","1.419995","3.714478","9.447095","0.090918","0.282324","0.363672","0.050244","0.129199","0.447412"
"P","1617446329.977368","7","-10","0","-1","48","31","0.979614","0.173889","-0.079773","-0.061218","-0.015267","-0.015267","0","1.400854","3.743188","9.481787","0.077759","0.308643","0.398364","0.033496","0.143555","0.48689"
"P","1617446329.967675","7","-9","-1","-1","46","31","0.979614","0.17395","-0.079651","-0.061157","-0.007634","-0.007634","0","1.39248","3.769507","9.514087","0.070581","0.333765","0.430664","0.022729","0.15791","0.525171"
"P","1617446329.957252","7","-9","-1","-1","46","31","0.979614","0.17395","-0.079529","-0.061157","0","-0.007634","-0.007634","1.391284","3.776685","9.551172","0.071777","0.340942","0.467749","0.017944","0.151929","0.562256"
"P","1617446329.9472666","7","-10","1","-1","46","30","0.979614","0.173828","-0.079407","-0.061096","0.007634","-0.007634","-0.007634","1.364966","3.75874","9.569117","0.047852","0.325391","0.485693","-0.008374","0.135181","0.569434"
"P","1617446329.937432","7","-10","-3","-2","44","29","0.979675","0.173645","-0.079346","-0.061035","0","-0.007634","-0.007634","1.344629","3.747974","9.593042","0.028711","0.318213","0.507227","-0.031104","0.124414","0.584985"
"P","1617446329.927287","7","-10","1","-1","48","31","0.979736","0.173462","-0.079224","-0.061035","0","-0.015267","0","1.333862","3.741992","9.640894","0.019141","0.31582","0.553882","-0.049048","0.107666","0.625659"
"P","1617446329.9174793","7","-9","0","-1","43","7","0.979736","0.173279","-0.079041","-0.060974","0.007634","-0.015267","-0.007634","1.283618","3.706104","9.662427","-0.026318","0.283521","0.574219","-0.100488","0.077759","0.626855"
"P","1617446329.9081762","7","-9","-1","-1","47","28","0.979797","0.173096","-0.078857","-0.060913","0.007634","-0.015267","-0.007634","1.259692","3.664233","9.673193","-0.047852","0.245239","0.582593","-0.12561","0.043066","0.618481"
"P","1617446329.897631","7","-10","-3","-2","44","28","0.979858","0.172852","-0.078796","-0.060791","0.007634","-0.007634","-0.015267","1.277637","3.613989","9.676783","-0.028711","0.19978","0.584985","-0.111255","-0.001196","0.607715"
"P","1617446329.8873737","7","-10","0","-1","46","30","0.979919","0.172607","-0.078918","-0.060669","0.007634","0.007634","-0.015267","1.303955","3.55896","9.666016","-0.005981","0.149536","0.571826","-0.092114","-0.046655","0.581396"
"P","1617446329.877471","7","-10","-4","0","49","29","0.97998","0.172302","-0.079224","-0.060486","0.007634","0.015267","-0.022901","1.349414","3.509912","9.640894","0.031104","0.10647","0.545508","-0.055029","-0.08374","0.546704"
"P","1617446329.867595","7","-10","-2","-1","46","28","0.97998","0.172119","-0.079651","-0.060303","0.007634","0.015267","-0.022901","1.402051","3.463257","9.601416","0.075366","0.062207","0.50603","-0.00957","-0.118433","0.501245"
"P","1617446329.8573332","7","-8","-1","-1","48","28","0.97998","0.171936","-0.080017","-0.06012","0.007634","0.015267","-0.015267","1.417603","3.424976","9.518872","0.082544","0.027515","0.423486","0.007178","-0.124414","0.41272"
"P","1617446329.8476014","7","-10","-3","-1","47","29","0.97998","0.171875","-0.080444","-0.059937","0","0.022901","-0.015267","1.446314","3.427368","9.406421","0.102881","0.031104","0.312231","0.047852","-0.087329","0.313428"
"P","1617446329.8373988","7","-10","-1","-1","46","30","0.979919","0.171997","-0.080933","-0.059814","-0.015267","0.022901","-0.015267","1.481006","3.459668","9.305933","0.128003","0.061011","0.214136","0.092114","-0.031104","0.236865"
"P","1617446329.8273308","7","-33","-3","-2","75","26","0.979858","0.172241","-0.081421","-0.059753","-0.022901","0.030534","-0.015267","1.513306","3.51709","9.218603","0.150732","0.113647","0.129199","0.133984","0.040674","0.179443"
"P","1617446329.8180523","7","-10","0","-1","47","32","0.979736","0.172485","-0.082031","-0.059692","-0.022901","0.030534","-0.007634","1.52168","3.563745","9.150415","0.147144","0.155518","0.065796","0.145947","0.101685","0.135181"
"P","1617446329.80749","7","-10","-1","-1","48","31","0.979675","0.172607","-0.08252","-0.059692","-0.007634","0.030534","-0.007634","1.526465","3.560156","9.091797","0.143555","0.14834","0.00957","0.151929","0.113647","0.080151"
"P","1617446329.7976694","7","-10","0","-1","46","28","0.979614","0.172607","-0.083008","-0.059814","0","0.022901","0","1.512109","3.525464","9.043945","0.119629","0.113647","-0.035889","0.132788","0.099292","0.022729"
"P","1617446329.7873762","7","-10","-2","-1","47","29","0.979614","0.172485","-0.083313","-0.059998","0.007634","0.022901","0.007634","1.509717","3.495557","9.034375","0.112451","0.084937","-0.045459","0.12561","0.076563","0.002393"
