timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world,Alphabet
1616135528.8283727,1,-5.0,3.0,-7.0,-12.0,-9.0,0.798523,0.477112,-0.366882,-0.0047,0.007634,-0.022901,-0.038168,6.00896,7.637109,2.813672,0.309839,0.135181,0.113647,0.112451,-0.123218,0.314624,please
1616135528.838159,1,-3.0,4.0,-8.0,-9.0,-7.0,0.79834,0.477478,-0.366943,-0.005188,0.007634,-0.022901,-0.038168,6.077148,7.651465,2.774194,0.382812,0.142358,0.081348,0.181836,-0.120825,0.352905,please
1616135528.8482242,1,-6.0,0.0,-11.0,-10.0,-9.0,0.798096,0.477783,-0.367004,-0.005554,0.007634,-0.015267,-0.038168,6.140552,7.669409,2.739502,0.451001,0.155518,0.053833,0.244043,-0.118433,0.394775,please
1616135528.8582702,1,-4.0,3.0,-8.0,-11.0,-7.0,0.797852,0.478149,-0.367004,-0.005798,0.015267,-0.007634,-0.030534,6.195581,7.68855,2.70481,0.509619,0.168677,0.026318,0.297876,-0.111255,0.43186,please
1616135528.8681917,1,-7.0,4.0,-7.0,-13.0,-6.0,0.797668,0.478516,-0.367004,-0.00592,0.015267,-0.007634,-0.030534,6.238647,7.718457,2.667725,0.556274,0.193799,-0.003589,0.342139,-0.092114,0.470142,please
1616135528.8781328,1,-4.0,1.0,-10.0,-11.0,-12.0,0.797424,0.478943,-0.366882,-0.005981,0.015267,0.0,-0.022901,6.255395,7.760327,2.639014,0.576611,0.230884,-0.025122,0.356494,-0.063403,0.503638,please
1616135528.8881936,1,-4.0,1.0,-7.0,-11.0,-6.0,0.797302,0.479248,-0.36676,-0.006042,0.007634,0.007634,-0.022901,6.257788,7.798608,2.631836,0.582593,0.265576,-0.028711,0.351709,-0.044263,0.533545,please
1616135528.8980885,1,-3.0,5.0,-4.0,-12.0,-10.0,0.797241,0.479492,-0.366516,-0.006104,0.007634,0.007634,-0.022901,6.239844,7.842871,2.628247,0.569434,0.30625,-0.031104,0.328979,-0.015552,0.556274,please
1616135528.908357,1,-5.0,5.0,-10.0,-9.0,-7.0,0.797241,0.479675,-0.366272,-0.006165,0.0,0.015267,-0.022901,6.207544,7.859619,2.624658,0.541919,0.319409,-0.034692,0.307446,0.002393,0.549097,please
1616135528.9182055,1,-5.0,3.0,-7.0,-10.0,-6.0,0.797302,0.479797,-0.366028,-0.006165,-0.007634,0.015267,-0.022901,6.165674,7.850049,2.613892,0.503638,0.307446,-0.046655,0.290698,0.019141,0.514404,please
1616135528.9281354,1,-3.0,4.0,-7.0,-8.0,-6.0,0.797363,0.479919,-0.365723,-0.006226,0.0,0.015267,-0.015267,6.116626,7.821338,2.606714,0.459375,0.276343,-0.056226,0.275146,0.025122,0.461768,please
1616135528.9384837,1,-6.0,3.0,-7.0,-12.0,-8.0,0.797424,0.480042,-0.36554,-0.006165,0.0,0.015267,-0.015267,6.080737,7.785449,2.600732,0.424683,0.238062,-0.063403,0.266772,0.022729,0.410327,please
1616135528.9481423,1,-5.0,2.0,-9.0,-12.0,-7.0,0.797363,0.480225,-0.365356,-0.006042,0.007634,0.007634,-0.007634,6.046045,7.76272,2.604321,0.392383,0.214136,-0.057422,0.247632,0.016748,0.375635,please
1616135528.9583418,1,-4.0,1.0,-10.0,-9.0,-8.0,0.797363,0.480408,-0.365234,-0.005859,0.007634,0.007634,-0.007634,6.014941,7.765112,2.611499,0.361279,0.214136,-0.050244,0.220117,0.022729,0.358887,please
1616135528.9681451,1,-4.0,1.0,-7.0,-10.0,-8.0,0.797241,0.480652,-0.365112,-0.005676,0.015267,0.007634,0.0,6.001782,7.796216,2.623462,0.349316,0.244043,-0.034692,0.192603,0.031104,0.379224,please
1616135528.9782982,1,-3.0,4.0,-8.0,-12.0,-6.0,0.797119,0.480896,-0.365051,-0.005432,0.015267,0.007634,0.0,5.988623,7.850049,2.618677,0.336157,0.297876,-0.035889,0.165088,0.065796,0.41272,please
1616135528.9880588,1,-3.0,1.0,-11.0,-12.0,-8.0,0.797058,0.481079,-0.36499,-0.00531,0.007634,0.007634,0.0,5.98623,7.923022,2.63064,0.333765,0.368457,-0.021533,0.130396,0.093311,0.470142,please
1616135528.9982412,1,-5.0,3.0,-10.0,-13.0,-7.0,0.797058,0.48114,-0.364929,-0.005188,0.0,0.007634,0.0,5.985034,7.985229,2.631836,0.332568,0.430664,-0.020337,0.107666,0.126807,0.517993,please
1616135529.0081992,1,1.0,0.0,-7.0,-2.0,-6.0,0.797058,0.48114,-0.364868,-0.005127,-0.007634,0.007634,0.0,5.979053,8.021118,2.631836,0.326587,0.467749,-0.020337,0.090918,0.14834,0.543115,please
1616135529.0174718,1,-4.0,4.0,-7.0,-9.0,-6.0,0.797119,0.481018,-0.364807,-0.005066,-0.015267,0.007634,0.0,5.959912,8.048633,2.636621,0.307446,0.49646,-0.017944,0.065796,0.169873,0.553882,please
1616135529.0283206,1,-3.0,3.0,-12.0,-12.0,-7.0,0.797241,0.480896,-0.364746,-0.005005,-0.015267,0.0,0.0,5.941968,8.052221,2.641406,0.289502,0.501245,-0.016748,0.050244,0.178247,0.5479,please
1616135529.0382197,1,-4.0,1.0,-9.0,-12.0,-6.0,0.797302,0.480713,-0.364807,-0.005005,-0.015267,-0.007634,0.007634,5.924024,8.042651,2.658154,0.269165,0.494067,-0.002393,0.028711,0.169873,0.534741,please
1616135529.0477304,1,-3.0,1.0,-11.0,-9.0,-8.0,0.797363,0.48053,-0.36499,-0.005005,-0.015267,-0.007634,0.007634,5.896509,8.015137,2.665332,0.239258,0.468945,0.002393,0.013159,0.163892,0.498853,please
1616135529.0580735,1,-3.0,3.0,-10.0,-14.0,-7.0,0.797363,0.480408,-0.365234,-0.004944,-0.007634,-0.015267,0.015267,5.877368,7.976855,2.671314,0.215332,0.433057,0.008374,0.003589,0.14834,0.459375,please
1616135529.0683117,1,-4.0,1.0,-10.0,-9.0,-6.0,0.797241,0.480286,-0.36554,-0.004883,-0.007634,-0.022901,0.015267,5.857031,7.961304,2.673706,0.19021,0.421094,0.014355,-0.013159,0.147144,0.437842,please
1616135529.0774002,1,-3.0,4.0,-6.0,-10.0,-6.0,0.797119,0.480225,-0.365906,-0.004761,0.0,-0.022901,0.015267,5.848657,7.9625,2.676099,0.175854,0.424683,0.020337,-0.028711,0.149536,0.433057,please
1616135529.0873733,1,-6.0,2.0,-11.0,-11.0,-7.0,0.796997,0.480164,-0.366333,-0.004639,0.0,-0.022901,0.015267,5.833106,7.980444,2.676099,0.153125,0.446216,0.025122,-0.056226,0.166284,0.437842,please
1616135529.097477,1,-4.0,4.0,-7.0,-10.0,-11.0,0.796814,0.480103,-0.366699,-0.004639,-0.007634,-0.022901,0.015267,5.829516,8.00437,2.667725,0.145947,0.472534,0.021533,-0.068188,0.185425,0.453394,please
1616135529.1081853,1,-5.0,4.0,-10.0,-10.0,-8.0,0.796753,0.479919,-0.367126,-0.0047,-0.015267,-0.022901,0.015267,5.840283,8.028296,2.648584,0.150732,0.498853,0.004785,-0.0646,0.210547,0.471338,please
1616135529.117413,1,-6.0,4.0,-6.0,-13.0,-6.0,0.796692,0.479736,-0.367493,-0.004883,-0.022901,-0.022901,0.007634,5.853442,8.033081,2.615088,0.160303,0.50603,-0.026318,-0.04187,0.234473,0.47373,please
1616135529.1281302,1,-7.0,3.0,-7.0,-10.0,-6.0,0.796631,0.479553,-0.367859,-0.005005,-0.022901,-0.022901,0.007634,5.868994,8.015137,2.582788,0.172266,0.490479,-0.056226,-0.00957,0.245239,0.460571,please
1616135529.1379926,1,-5.0,4.0,-8.0,-11.0,-9.0,0.796631,0.47937,-0.368164,-0.005127,-0.022901,-0.022901,0.007634,5.889331,7.985229,2.555274,0.187817,0.462964,-0.08374,0.026318,0.245239,0.441431,please
1616135529.1473818,1,-4.0,4.0,-8.0,-9.0,-6.0,0.79657,0.479187,-0.36853,-0.005249,-0.015267,-0.022901,0.007634,5.906079,7.946948,2.540918,0.200977,0.427075,-0.095703,0.055029,0.230884,0.418701,please
1616135529.1575084,1,-7.0,4.0,-8.0,-8.0,-2.0,0.796509,0.479004,-0.368835,-0.00531,-0.015267,-0.022901,0.007634,5.913257,7.912256,2.531348,0.204565,0.394775,-0.104077,0.07417,0.217725,0.393579,please
1616135529.1674068,1,-9.0,5.0,-8.0,-9.0,-7.0,0.796387,0.478943,-0.369141,-0.005371,-0.007634,-0.015267,0.007634,5.916846,7.887134,2.525366,0.204565,0.372046,-0.10647,0.082544,0.206958,0.375635,please
1616135529.1774108,1,-5.0,4.0,-8.0,-10.0,-6.0,0.796265,0.478943,-0.369446,-0.005432,-0.007634,-0.015267,0.0,5.926416,7.87876,2.526562,0.210547,0.363672,-0.101685,0.087329,0.197388,0.373242,please
1616135529.1873262,1,-5.0,3.0,-8.0,-9.0,-8.0,0.796143,0.478943,-0.36969,-0.005493,-0.007634,-0.015267,0.0,5.94436,7.893115,2.538525,0.226099,0.379224,-0.084937,0.082544,0.186621,0.399561,please
1616135529.1976285,1,-3.0,4.0,-8.0,-13.0,-6.0,0.796082,0.478943,-0.369873,-0.005493,-0.007634,-0.015267,0.0,5.968286,7.917041,2.549292,0.247632,0.403149,-0.072974,0.08374,0.183032,0.433057,please
1616135529.207382,1,-3.0,4.0,-7.0,-9.0,-9.0,0.796021,0.478943,-0.369995,-0.005554,-0.007634,-0.007634,0.0,5.988623,7.933789,2.567236,0.267969,0.419897,-0.052637,0.080151,0.168677,0.46416,please
1616135529.217403,1,-6.0,5.0,-8.0,-9.0,-8.0,0.796021,0.478943,-0.370056,-0.005676,-0.007634,-0.007634,-0.007634,5.98982,7.9625,2.597144,0.269165,0.448608,-0.022729,0.053833,0.161499,0.494067,please
1616135529.227596,1,-4.0,3.0,-11.0,-59.0,-3.0,0.796082,0.478821,-0.369934,-0.005798,-0.022901,0.0,-0.007634,5.974267,8.010351,2.66294,0.256006,0.49646,0.039478,-0.008374,0.144751,0.539526,please
1616135529.2373116,1,-4.0,5.0,-8.0,-10.0,-6.0,0.796326,0.478577,-0.369751,-0.006042,-0.030534,0.0,-0.007634,5.961108,8.060596,2.745483,0.246436,0.546704,0.114844,-0.076563,0.118433,0.593359,please
1616135529.2479155,1,-3.0,3.0,-7.0,-20.0,-7.0,0.796692,0.47821,-0.369446,-0.006348,-0.038168,0.007634,-0.015267,5.953931,8.097681,2.823242,0.244043,0.583789,0.18064,-0.130396,0.090918,0.637622,please
1616135529.257429,1,-4.0,3.0,-10.0,-10.0,-9.0,0.797058,0.477783,-0.369141,-0.006653,-0.038168,0.007634,-0.015267,5.950342,8.123999,2.902197,0.245239,0.611304,0.247632,-0.177051,0.055029,0.678296,please
1616135529.2673054,1,-5.0,1.0,-11.0,-21.0,-6.0,0.797485,0.477295,-0.368896,-0.006958,-0.045802,0.007634,-0.007634,5.965894,8.169458,2.990723,0.26438,0.657959,0.322998,-0.223706,0.016748,0.745288,please
1616135529.2772882,1,-6.0,1.0,-8.0,-12.0,-8.0,0.797974,0.476624,-0.368652,-0.007263,-0.053435,0.0,-0.007634,5.98982,8.224487,3.051733,0.290698,0.716577,0.368457,-0.251221,0.005981,0.818262,please
1616135529.2874885,1,-7.0,4.0,-10.0,-10.0,-6.0,0.798523,0.475891,-0.368469,-0.007568,-0.061069,0.007634,0.0,6.071167,8.248413,3.101978,0.374438,0.745288,0.401953,-0.218921,-0.031104,0.898413,please
1616135529.297367,1,-4.0,5.0,-8.0,-9.0,-6.0,0.799072,0.475037,-0.368408,-0.007629,-0.053435,0.007634,0.015267,6.195581,8.244824,3.13667,0.49646,0.748877,0.419897,-0.141162,-0.084937,0.977368,please
1616135529.307454,1,-3.0,4.0,-10.0,-8.0,-6.0,0.799622,0.474182,-0.368347,-0.007324,-0.045802,0.022901,0.022901,6.343921,8.224487,3.158203,0.638818,0.739307,0.424683,-0.037085,-0.143555,1.053931,please
1616135529.3172622,1,-5.0,4.0,-6.0,-13.0,-9.0,0.80011,0.473389,-0.368286,-0.006592,-0.038168,0.038168,0.038168,6.534131,8.219702,3.180933,0.819458,0.747681,0.43186,0.086133,-0.205762,1.168774,please
1616135529.327252,1,-3.0,7.0,-4.0,-12.0,-6.0,0.800659,0.472534,-0.368225,-0.005554,-0.030534,0.053435,0.053435,6.761426,8.241236,3.195288,1.033594,0.784766,0.429468,0.230884,-0.257202,1.321899,please
1616135529.33747,1,-4.0,3.0,-8.0,-13.0,37.0,0.80127,0.471558,-0.368164,-0.004028,-0.030534,0.068702,0.068702,7.035376,8.250806,3.218018,1.2896,0.815869,0.433057,0.404346,-0.328979,1.497754,please
1616135529.3474166,1,-5.0,1.0,-12.0,-11.0,-6.0,0.802002,0.470398,-0.368042,-0.002136,-0.038168,0.091603,0.083969,7.352393,8.212524,3.225195,1.586279,0.80271,0.417505,0.632837,-0.421094,1.659253,please
1616135529.3575983,1,-1.0,5.0,-10.0,-10.0,-7.0,0.802856,0.469116,-0.36792,0.000183,-0.038168,0.10687,0.10687,7.704102,8.100073,3.213233,1.91167,0.71897,0.379224,0.921143,-0.541919,1.780078,please
1616135529.3674395,1,-5.0,1.0,-10.0,-9.0,-6.0,0.803711,0.467651,-0.367737,0.003113,-0.030534,0.129771,0.122137,8.080933,7.949341,3.195288,2.258594,0.604126,0.332568,1.240552,-0.675903,1.891333,please
1616135529.377511,1,-5.0,4.0,-10.0,-12.0,-8.0,0.804688,0.466125,-0.367554,0.006592,-0.022901,0.152672,0.137405,8.435034,7.76272,3.154614,2.576807,0.458179,0.260791,1.564746,-0.79314,1.958325,please
1616135529.3875103,1,-4.0,4.0,-6.0,-9.0,-7.0,0.805664,0.4646,-0.36731,0.010559,-0.015267,0.183206,0.160305,8.746069,7.550977,3.076855,2.84956,0.289502,0.151929,1.887744,-0.874487,1.973877,please
1616135529.39739,1,0.0,1.0,-11.0,-10.0,-6.0,0.806641,0.462952,-0.366943,0.015076,-0.007634,0.206107,0.183206,8.984131,7.290185,2.953638,3.045752,0.078955,-0.004785,2.197583,-0.911572,1.9021,please
1616135529.4075568,1,-6.0,4.0,-11.0,-17.0,-9.0,0.807739,0.461304,-0.366455,0.020142,0.0,0.236641,0.198473,9.133667,6.96958,2.774194,3.149829,-0.187817,-0.221313,2.496655,-0.900806,1.717871,please
1616135529.417472,1,-6.0,0.0,-27.0,-10.0,-8.0,0.808777,0.459778,-0.365784,0.025818,0.015267,0.267176,0.21374,9.20664,6.576001,2.544507,3.174951,-0.526367,-0.489282,2.796924,-0.864917,1.419995,please
1616135529.427377,1,-4.0,4.0,-10.0,-9.0,-8.0,0.809753,0.458374,-0.364868,0.031982,0.038168,0.29771,0.221374,9.203052,6.129785,2.275342,3.124707,-0.916357,-0.796728,3.086426,-0.801514,1.028809,please
1616135529.437436,1,-7.0,4.0,-7.0,-8.0,-7.0,0.810608,0.457336,-0.363525,0.038574,0.068702,0.335878,0.221374,9.098974,5.665625,2.004981,2.976367,-1.325488,-1.104175,3.314917,-0.720166,0.562256,please
1616135529.4475265,1,-3.0,1.0,-11.0,-11.0,-8.0,0.811462,0.456726,-0.361633,0.045532,0.099237,0.374046,0.21374,8.909961,5.142847,1.742993,2.750268,-1.798023,-1.404443,3.511108,-0.657959,0.003589,please
1616135529.4573348,1,-5.0,5.0,-8.0,-10.0,-6.0,0.812195,0.456665,-0.359131,0.052795,0.145038,0.412214,0.198473,8.628833,4.573413,1.47981,2.439233,-2.32439,-1.703516,3.669019,-0.604126,-0.648389,please
1616135529.4673462,1,-3.0,4.0,-10.0,-13.0,-8.0,0.812744,0.457336,-0.355835,0.060242,0.198473,0.450382,0.167939,8.242432,3.999194,1.239355,2.033691,-2.865112,-1.978662,3.751563,-0.552686,-1.367358,please
1616135529.4772966,1,-4.0,2.0,-6.0,-8.0,-8.0,0.813049,0.458923,-0.351685,0.067749,0.259542,0.473282,0.129771,7.738794,3.477612,1.052734,1.524072,-3.367554,-2.193994,3.708496,-0.500049,-2.112647,please
1616135529.4872236,1,-4.0,4.0,-7.0,-10.0,-6.0,0.81311,0.461548,-0.34668,0.07489,0.312977,0.48855,0.076336,7.10835,3.151025,0.971387,0.905591,-3.695337,-2.296875,3.445312,-0.415112,-2.774194,please
1616135529.4972956,1,-7.0,4.0,-7.0,-11.0,-10.0,0.813049,0.465027,-0.340637,0.081116,0.343511,0.48855,0.0,6.325976,3.105567,1.024023,0.15791,-3.762329,-2.262183,2.889038,-0.278735,-3.295776,please
1616135529.5075002,1,-6.0,1.0,-7.0,-10.0,-6.0,0.813171,0.469116,-0.333557,0.085815,0.320611,0.473282,-0.091603,5.445508,3.344824,1.189111,-0.659155,-3.570923,-2.116235,2.089917,-0.095703,-3.643897,please
1616135529.5174234,1,-3.0,3.0,-10.0,-12.0,-11.0,0.813721,0.473145,-0.325684,0.088562,0.267176,0.450382,-0.183206,4.514795,3.728833,1.402051,-1.500147,-3.251514,-1.929614,1.172363,0.098096,-3.892725,please
1616135529.5274868,1,-4.0,3.0,-11.0,-10.0,-6.0,0.814758,0.477112,-0.317078,0.089172,0.198473,0.419847,-0.282443,3.541016,4.280322,1.638916,-2.355493,-2.783765,-1.727441,0.147144,0.33855,-4.017138,please
1616135529.537421,1,-6.0,1.0,-8.0,-16.0,-7.0,0.816345,0.480835,-0.3078,0.087402,0.122137,0.389313,-0.396947,2.585181,4.9646,1.839893,-3.162988,-2.201172,-1.570728,-0.891235,0.651978,-4.011157,please
1616135529.5473316,1,-3.0,4.0,-6.0,-10.0,-6.0,0.818298,0.484314,-0.297974,0.083435,0.061069,0.351145,-0.48855,1.750171,5.640503,1.984644,-3.819751,-1.638916,-1.476221,-1.789648,0.976172,-3.909473,please
1616135529.5574462,1,-7.0,4.0,-8.0,-12.0,-9.0,0.820435,0.487671,-0.287964,0.078003,0.030534,0.320611,-0.549618,1.081445,6.191992,2.095898,-4.294678,-1.209448,-1.416406,-2.472729,1.233374,-3.776685,please
1616135529.567377,1,-5.0,3.0,-8.0,-7.0,-6.0,0.822205,0.491394,-0.278015,0.071838,0.053435,0.282443,-0.580153,0.519189,6.7052,2.172461,-4.652368,-0.821851,-1.378125,-3.0302,1.472632,-3.585278,please
1616135529.5773888,1,-5.0,4.0,-6.0,-8.0,-7.0,0.823181,0.496033,-0.268188,0.065613,0.137405,0.259542,-0.580153,0.00957,7.164575,2.252612,-4.955029,-0.492871,-1.313525,-3.519482,1.655664,-3.373535,please
1616135529.5872643,1,-5.0,3.0,-10.0,-11.0,-8.0,0.822876,0.502258,-0.258728,0.060059,0.290076,0.221374,-0.534351,-0.44502,7.594043,2.405737,-5.208642,-0.200977,-1.136475,-3.984839,1.715479,-3.101978,please
1616135529.597463,1,-5.0,1.0,-8.0,-8.0,-6.0,0.82074,0.51062,-0.250061,0.055542,0.473282,0.167939,-0.465649,-0.881665,8.193384,2.623462,-5.459863,0.251221,-0.839795,-4.532739,1.741797,-2.643799,please
1616135529.6072314,1,-6.0,4.0,-7.0,-9.0,-8.0,0.816833,0.520752,-0.242615,0.052063,0.618321,0.091603,-0.374046,-1.256104,9.114527,2.869897,-5.671607,1.024023,-0.460571,-5.160791,1.817163,-1.866211,please
1616135529.617389,1,-8.0,1.0,-8.0,-10.0,-7.0,0.811584,0.531738,-0.236755,0.049255,0.687023,0.0,-0.274809,-1.534839,10.300049,3.128296,-5.813965,2.06958,-0.029907,-5.80918,1.914062,-0.809888,please
1616135529.6273558,1,-5.0,3.0,-7.0,-8.0,-7.0,0.805847,0.542358,-0.23291,0.046509,0.656489,-0.10687,-0.19084,-1.701123,11.466431,3.421387,-5.873779,3.111548,0.449805,-6.376221,1.908081,0.287109,please
1616135529.6372795,1,-6.0,4.0,-10.0,-8.0,-7.0,0.800232,0.551697,-0.230957,0.043335,0.580153,-0.206107,-0.137405,-1.774097,12.364843,3.647485,-5.864209,3.90708,0.858936,-6.759033,1.825537,1.167578,please
