"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"Q","1617446386.2817004","7","-15","5","48","56","34","0.97052","0.013","0.240417","0.001465","0.007634","0","-0.007634","-4.822241","0.252417","8.781958","-0.248828","-0.001196","0.118433","-0.163892","-0.005981","0.220117"
"Q","1617446386.2716684","7","-16","0","48","55","37","0.97052","0.012817","0.240417","0.001526","0.007634","-0.007634","-0.007634","-4.833008","0.228491","8.80708","-0.259595","-0.021533","0.143555","-0.161499","-0.026318","0.246436"
"Q","1617446386.26169","7","-17","0","48","50","34","0.97052","0.012634","0.240479","0.001587","0.007634","-0.015267","0","-4.862915","0.193799","8.829809","-0.288306","-0.053833","0.166284","-0.177051","-0.059814","0.279932"
"Q","1617446386.2514827","7","-15","0","49","54","33","0.97052","0.012573","0.24054","0.001587","0","-0.015267","-0.007634","-4.873682","0.186621","8.859716","-0.297876","-0.059814","0.197388","-0.171069","-0.066992","0.311035"
"Q","1617446386.2419758","7","-15","4","47","57","32","0.970459","0.012512","0.240662","0.001648","0","-0.015267","-0.007634","-4.886841","0.19978","8.876465","-0.308643","-0.045459","0.215332","-0.172266","-0.052637","0.332568"
"Q","1617446386.231664","7","-16","1","46","54","36","0.970459","0.012512","0.240662","0.001709","-0.007634","-0.007634","-0.007634","-4.872485","0.197388","8.895605","-0.294287","-0.047852","0.234473","-0.150732","-0.055029","0.343335"
"Q","1617446386.2215636","7","-15","1","49","55","34","0.97052","0.012512","0.240601","0.00177","0","0","-0.007634","-4.837793","0.177051","8.897998","-0.260791","-0.068188","0.235669","-0.119629","-0.075366","0.327783"
"Q","1617446386.2116628","7","-14","0","47","56","33","0.97052","0.012512","0.240479","0.001831","0","0","0","-4.798316","0.153125","8.888428","-0.223706","-0.093311","0.224902","-0.092114","-0.100488","0.300269"
"Q","1617446386.2014835","7","-13","1","50","54","35","0.970581","0.012451","0.240356","0.001831","0","0","0","-4.756445","0.153125","8.874072","-0.184229","-0.092114","0.209351","-0.0646","-0.098096","0.267969"
"Q","1617446386.1918674","7","-19","0","48","55","31","0.970581","0.012451","0.240295","0.00177","0","0","0","-4.725342","0.173462","8.851343","-0.154321","-0.070581","0.186621","-0.049048","-0.075366","0.234473"
"Q","1617446386.181598","7","-16","0","48","54","35","0.970581","0.012512","0.240234","0.00177","-0.007634","-0.007634","0","-4.702612","0.210547","8.835791","-0.132788","-0.034692","0.169873","-0.038281","-0.039478","0.210547"
"Q","1617446386.1710072","7","-17","1","47","57","32","0.970581","0.012634","0.240173","0.001648","-0.015267","0","0","-4.678687","0.263184","8.829809","-0.110059","0.014355","0.163892","-0.020337","0.008374","0.196191"
"Q","1617446386.1608338","7","-16","3","47","53","35","0.970642","0.012756","0.240051","0.001526","-0.015267","0.007634","0","-4.647583","0.293091","8.828613","-0.080151","0.043066","0.161499","0.003589","0.038281","0.18064"
"Q","1617446386.1508706","7","-16","3","48","53","36","0.970703","0.012878","0.239868","0.001465","-0.007634","0.015267","0","-4.610498","0.293091","8.825025","-0.046655","0.040674","0.155518","0.031104","0.035889","0.160303"
"Q","1617446386.1417212","7","-15","1","48","55","35","0.970764","0.012939","0.239563","0.001465","-0.007634","0.015267","-0.007634","-4.581787","0.290698","8.827417","-0.023926","0.037085","0.155518","0.050244","0.0323","0.149536"
"Q","1617446386.1315114","7","-19","0","47","56","36","0.970825","0.013","0.239258","0.001465","-0.007634","0.015267","-0.007634","-4.579394","0.303857","8.836987","-0.026318","0.049048","0.162695","0.05144","0.044263","0.156714"
"Q","1617446386.1216166","7","-15","3","49","56","33","0.970886","0.013245","0.239075","0.001526","-0.015267","0","-0.007634","-4.616479","0.356494","8.841772","-0.066992","0.096899","0.165088","0.016748","0.090918","0.179443"
"Q","1617446386.1116922","7","-16","0","47","55","34","0.970886","0.013428","0.238953","0.001526","-0.015267","0","0","-4.636817","0.42229","8.847754","-0.089722","0.159106","0.171069","0","0.153125","0.196191"
"Q","1617446386.101834","7","-15","1","49","57","36","0.970947","0.01355","0.23877","0.001343","-0.015267","0.015267","0.007634","-4.606909","0.44502","8.834595","-0.062207","0.18064","0.155518","0.016748","0.175854","0.171069"
"Q","1617446386.0914977","7","-16","3","48","56","36","0.971008","0.013489","0.238464","0.00116","0","0.022901","0.015267","-4.556665","0.436646","8.804688","-0.017944","0.173462","0.123218","0.04187","0.169873","0.122021"
