"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"R","1617446457.039179","7","25","1","-22","64","42","0.662109","-0.120728","-0.737915","-0.049988","0.015267","0.007634","0","9.311914","-0.87688","-1.190308","-0.381616","-0.0323","-0.031104","0.057422","-0.080151","-0.37085"
"R","1617446457.0292058","7","25","-1","-23","60","42","0.661987","-0.12085","-0.737976","-0.050232","0.007634","0.007634","0","9.359766","-0.875684","-1.167578","-0.333765","-0.033496","-0.005981","0.028711","-0.070581","-0.325391"
"R","1617446457.0192854","7","25","-3","-23","61","41","0.661926","-0.120911","-0.738037","-0.050415","0","0","0","9.372925","-0.868506","-1.153223","-0.320605","-0.028711","0.008374","0.014355","-0.061011","-0.314624"
"R","1617446457.0092392","7","24","-1","-22","60","41","0.661865","-0.12085","-0.738098","-0.050537","-0.007634","-0.007634","0","9.370532","-0.843384","-1.132886","-0.324194","-0.005981","0.029907","0","-0.034692","-0.322998"
"R","1617446456.999271","7","25","-3","-24","52","40","0.661926","-0.120728","-0.738037","-0.050476","-0.015267","-0.015267","0","9.357373","-0.805103","-1.110156","-0.336157","0.029907","0.05144","-0.00957","0.002393","-0.340942"
"R","1617446456.9892082","7","24","-3","-23","61","41","0.662109","-0.120605","-0.737915","-0.050354","-0.015267","-0.022901","0","9.304736","-0.790747","-1.113745","-0.38999","0.045459","0.043066","0.005981","0.00957","-0.394775"
"R","1617446456.9793055","7","24","-1","-22","61","39","0.662354","-0.120483","-0.737732","-0.050232","-0.007634","-0.022901","-0.007634","9.267652","-0.809888","-1.122119","-0.428271","0.027515","0.028711","0.017944","-0.013159","-0.428271"
"R","1617446456.969557","7","25","1","-22","63","40","0.662598","-0.120544","-0.737549","-0.050171","0","-0.022901","-0.015267","9.249707","-0.846973","-1.126904","-0.446216","-0.005981","0.019141","0.020337","-0.050244","-0.442627"
"R","1617446456.959394","7","24","-4","-20","62","40","0.662781","-0.120728","-0.737366","-0.050232","0.007634","-0.007634","-0.015267","9.265259","-0.888843","-1.131689","-0.43186","-0.045459","0.00957","0.019141","-0.089722","-0.423486"
"R","1617446456.94936","7","25","-2","-20","63","39","0.662781","-0.120972","-0.737244","-0.050293","0.015267","0","-0.007634","9.326269","-0.911572","-1.111353","-0.369653","-0.065796","0.028711","-0.00957","-0.096899","-0.362476"
"R","1617446456.9394622","7","24","-3","-26","62","38","0.66272","-0.121155","-0.737305","-0.050476","0.015267","0.007634","0","9.384888","-0.927124","-1.101782","-0.311035","-0.082544","0.039478","-0.028711","-0.104077","-0.305054"
"R","1617446456.92924","7","24","-3","-26","59","38","0.662537","-0.121216","-0.737427","-0.05072","0.007634","0.007634","0","9.41958","-0.921143","-1.107764","-0.276343","-0.080151","0.038281","-0.029907","-0.098096","-0.270361"
"R","1617446456.919422","7","25","0","-24","60","41","0.662354","-0.121155","-0.737549","-0.050903","-0.007634","0.007634","0.007634","9.430346","-0.875684","-1.113745","-0.26438","-0.038281","0.035889","-0.019141","-0.057422","-0.261987"
"R","1617446456.9093575","7","26","-3","-27","58","40","0.662292","-0.12085","-0.737671","-0.051025","-0.022901","0","0.015267","9.425562","-0.809888","-1.114941","-0.270361","0.020337","0.035889","-0.003589","-0.001196","-0.272754"
"R","1617446456.8993251","7","25","1","-23","60","41","0.662292","-0.120361","-0.737732","-0.051025","-0.030534","-0.007634","0.015267","9.401636","-0.740503","-1.123315","-0.294287","0.08374","0.027515","0.021533","0.053833","-0.301465"
"R","1617446456.8894727","7","27","-3","-23","60","41","0.662415","-0.119812","-0.737793","-0.050903","-0.030534","-0.007634","0.015267","9.366943","-0.693848","-1.136475","-0.331372","0.12561","0.011963","0.049048","0.087329","-0.339746"
"R","1617446456.8793256","7","25","-1","-23","60","39","0.662537","-0.119385","-0.737732","-0.050781","-0.022901","-0.007634","0.007634","9.343018","-0.6771","-1.149634","-0.355298","0.13877","-0.002393","0.068188","0.094507","-0.362476"
"R","1617446456.8695264","7","25","-3","-23","60","39","0.662598","-0.119141","-0.737732","-0.050659","-0.007634","-0.007634","0","9.333447","-0.703418","-1.153223","-0.364868","0.111255","-0.007178","0.066992","0.065796","-0.368457"
"R","1617446456.8592503","7","29","-3","-23","68","37","0.662659","-0.119202","-0.737671","-0.050659","0.015267","-0.007634","-0.007634","9.325073","-0.785962","-1.171167","-0.373242","0.028711","-0.027515","0.068188","-0.019141","-0.368457"
"R","1617446456.8493068","7","25","0","-22","62","39","0.662598","-0.119446","-0.73761","-0.050842","0.015267","0","-0.007634","9.329859","-0.842188","-1.181934","-0.367261","-0.025122","-0.037085","0.063403","-0.071777","-0.356494"
"R","1617446456.839486","7","25","-2","-10","58","39","0.662598","-0.11969","-0.73761","-0.051086","0.015267","0","-0.007634","9.347803","-0.870898","-1.171167","-0.350513","-0.055029","-0.026318","0.044263","-0.096899","-0.33855"
"R","1617446456.829273","7","24","-2","-22","59","40","0.662537","-0.119812","-0.73761","-0.05127","0.007634","0","-0.007634","9.365747","-0.866113","-1.159204","-0.332568","-0.05144","-0.013159","0.031104","-0.088525","-0.322998"
"R","1617446456.8194313","7","23","-2","-24","59","37","0.662476","-0.119873","-0.73761","-0.051392","-0.007634","-0.007634","0","9.370532","-0.837402","-1.14126","-0.326587","-0.022729","0.003589","0.020337","-0.056226","-0.320605"
"R","1617446456.8095138","7","25","-2","-26","63","39","0.662537","-0.119751","-0.73761","-0.051392","-0.015267","-0.007634","0","9.358569","-0.803906","-1.129297","-0.339746","0.007178","0.014355","0.019141","-0.026318","-0.337354"
"R","1617446456.7994146","7","25","-3","-28","57","39","0.662598","-0.119507","-0.73761","-0.051331","-0.022901","-0.015267","0","9.341822","-0.775195","-1.131689","-0.356494","0.034692","0.010767","0.031104","-0.002393","-0.356494"
"R","1617446456.789412","7","23","-1","-22","62","41","0.662781","-0.119324","-0.737488","-0.051208","-0.022901","-0.015267","0","9.332251","-0.750073","-1.135278","-0.367261","0.058618","0.003589","0.044263","0.016748","-0.368457"
"R","1617446456.7796364","7","24","-5","-33","60","39","0.662903","-0.119141","-0.737427","-0.051025","-0.015267","-0.015267","0","9.332251","-0.748877","-1.158008","-0.367261","0.061011","-0.021533","0.069385","0.013159","-0.366064"
"R","1617446456.769261","7","25","-1","-23","60","41","0.663025","-0.119019","-0.737366","-0.050964","0","-0.007634","0","9.348999","-0.781177","-1.179541","-0.351709","0.028711","-0.045459","0.082544","-0.020337","-0.344531"
"R","1617446456.7597497","7","25","0","-23","59","38","0.663025","-0.11908","-0.737305","-0.050964","0.007634","0","-0.007634","9.372925","-0.819458","-1.17356","-0.326587","-0.008374","-0.040674","0.066992","-0.052637","-0.317017"
"R","1617446456.749395","7","25","-3","-24","60","40","0.663025","-0.119202","-0.737305","-0.051086","0.007634","0","-0.007634","9.380102","-0.850561","-1.1604","-0.320605","-0.039478","-0.026318","0.044263","-0.077759","-0.311035"
"R","1617446456.739448","7","25","-2","-24","62","41","0.663025","-0.119263","-0.737305","-0.051208","0","0","-0.007634","9.389673","-0.843384","-1.142456","-0.311035","-0.033496","-0.008374","0.027515","-0.066992","-0.303857"
"R","1617446456.729529","7","25","-1","-24","63","41","0.662964","-0.119263","-0.737305","-0.05127","-0.007634","0","0","9.398046","-0.811084","-1.10896","-0.301465","-0.001196","0.023926","0.003589","-0.027515","-0.300269"
"R","1617446456.7192855","7","23","-1","-22","59","40","0.662964","-0.119202","-0.737305","-0.051208","-0.015267","0","0","9.395655","-0.778784","-1.081445","-0.303857","0.029907","0.05144","-0.013159","0.007178","-0.308643"
"R","1617446456.709293","7","25","0","-23","63","39","0.662964","-0.11908","-0.737366","-0.051147","-0.015267","-0.007634","0","9.400439","-0.758447","-1.068286","-0.300269","0.049048","0.065796","-0.022729","0.029907","-0.308643"
"R","1617446456.6992123","7","23","-4","-22","63","40","0.663025","-0.118958","-0.737305","-0.051025","-0.007634","-0.007634","0","9.386084","-0.763232","-1.080249","-0.313428","0.044263","0.05144","-0.00957","0.020337","-0.319409"
"R","1617446456.6893103","7","27","0","-26","60","37","0.663086","-0.118896","-0.737305","-0.050964","-0.007634","-0.007634","0","9.371729","-0.777588","-1.095801","-0.328979","0.031104","0.034692","0.003589","0.002393","-0.331372"
"R","1617446456.6794152","7","25","-1","-22","59","38","0.663147","-0.118835","-0.737244","-0.050964","-0.007634","-0.007634","0","9.369336","-0.787158","-1.116138","-0.331372","0.020337","0.013159","0.022729","-0.011963","-0.330176"
"R","1617446456.6694195","7","25","-3","-19","62","39","0.663208","-0.118835","-0.737183","-0.050903","0","-0.007634","-0.007634","9.369336","-0.794336","-1.119727","-0.331372","0.014355","0.008374","0.025122","-0.019141","-0.330176"
"R","1617446456.6596265","7","24","-1","-22","60","40","0.663269","-0.118896","-0.737122","-0.050903","0","-0.007634","-0.007634","9.341822","-0.813477","-1.130493","-0.358887","-0.002393","-0.003589","0.034692","-0.040674","-0.354102"
"R","1617446456.649497","7","27","-1","-22","60","39","0.663269","-0.118958","-0.737122","-0.050964","0","-0.007634","-0.007634","9.310718","-0.827832","-1.148438","-0.38999","-0.016748","-0.021533","0.05144","-0.062207","-0.381616"
"R","1617446456.6394048","7","24","4","-25","61","41","0.66333","-0.118958","-0.737061","-0.051025","-0.007634","0","-0.007634","9.327466","-0.819458","-1.138867","-0.373242","-0.00957","-0.013159","0.044263","-0.05144","-0.366064"
"R","1617446456.6294217","7","25","-3","-27","61","39","0.66333","-0.118958","-0.737061","-0.050964","-0.007634","0","-0.007634","9.348999","-0.791943","-1.117334","-0.351709","0.017944","0.007178","0.028711","-0.017944","-0.349316"
"R","1617446456.6195495","7","22","0","-26","66","37","0.66333","-0.118896","-0.737061","-0.050903","-0.007634","0","0","9.360962","-0.776392","-1.098193","-0.339746","0.033496","0.026318","0.013159","0.001196","-0.340942"
"R","1617446456.6096466","7","23","-1","-23","60","42","0.663269","-0.118835","-0.737122","-0.050842","-0.007634","0","-0.007634","9.378906","-0.787158","-1.07666","-0.321802","0.022729","0.049048","-0.011963","-0.001196","-0.325391"
"R","1617446456.59953","7","24","-4","-26","58","40","0.663208","-0.118896","-0.737183","-0.050781","-0.007634","0","-0.007634","9.370532","-0.795532","-1.069482","-0.330176","0.015552","0.058618","-0.021533","-0.005981","-0.333765"
"R","1617446456.5894558","7","31","-2","-22","59","39","0.663208","-0.118896","-0.737183","-0.05072","0","-0.007634","-0.007634","9.326269","-0.807495","-1.082642","-0.374438","0.004785","0.045459","-0.007178","-0.025122","-0.375635"
"R","1617446456.5793924","7","25","-1","-24","60","39","0.663208","-0.118958","-0.737183","-0.05072","0","-0.007634","-0.007634","9.298755","-0.821851","-1.098193","-0.401953","-0.008374","0.029907","0.005981","-0.044263","-0.399561"
"R","1617446456.5694156","7","25","-1","-20","62","41","0.663208","-0.119019","-0.737183","-0.050781","0","0","-0.007634","9.29397","-0.823047","-1.117334","-0.406738","-0.00957","0.010767","0.023926","-0.050244","-0.401953"
