"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"T","1617451914.099115","7","36","11","92","57","36","0.706604","0.203918","-0.677612","-0.001953","-0.007634","-0.015267","0.007634","9.456665","2.845972","0.175854","0.078955","-0.003589","0.189014","-0.173462","-0.078955","0.07417"
"T","1617451914.0889435","7","37","9","61","58","33","0.706543","0.204163","-0.677551","-0.001953","-0.015267","-0.015267","0.007634","9.433935","2.87229","0.159106","0.058618","0.017944","0.173462","-0.166284","-0.049048","0.061011"
"T","1617451914.079146","7","37","9","63","59","36","0.706543","0.204407","-0.677429","-0.001892","-0.015267","-0.007634","0.007634","9.418384","2.880664","0.139966","0.044263","0.023926","0.154321","-0.150732","-0.033496","0.049048"
"T","1617451914.0688727","7","37","10","63","58","35","0.706543","0.204651","-0.677429","-0.00177","-0.015267","-0.007634","0","9.405225","2.875879","0.128003","0.031104","0.017944","0.142358","-0.137573","-0.0323","0.034692"
"T","1617451914.0591042","7","38","9","62","60","37","0.706421","0.204712","-0.67749","-0.001709","0","0","-0.007634","9.404028","2.83042","0.092114","0.029907","-0.026318","0.110059","-0.095703","-0.063403","0.020337"
"T","1617451914.0489595","7","37","8","62","62","35","0.706299","0.204651","-0.677673","-0.001709","0.007634","0.015267","-0.015267","9.424365","2.781372","0.072974","0.049048","-0.07417","0.094507","-0.065796","-0.107666","0.023926"
"T","1617451914.039174","7","37","10","61","58","45","0.706116","0.204468","-0.677917","-0.00177","0.007634","0.015267","-0.015267","9.424365","2.763428","0.066992","0.049048","-0.089722","0.093311","-0.059814","-0.122021","0.020337"
"T","1617451914.0290823","7","35","9","62","112","37","0.705933","0.204285","-0.678162","-0.001892","0.007634","0.015267","-0.007634","9.393262","2.764624","0.068188","0.016748","-0.086133","0.099292","-0.069385","-0.111255","-0.008374"
"T","1617451914.018957","7","35","10","63","60","36","0.70575","0.204163","-0.678406","-0.002075","0","0.007634","-0.007634","9.344213","2.783765","0.072974","-0.031104","-0.066992","0.110059","-0.088525","-0.08374","-0.049048"
"T","1617451914.0091596","7","35","9","61","62","36","0.705627","0.204163","-0.678467","-0.002136","-0.007634","0","0","9.272436","2.835205","0.082544","-0.101685","-0.016748","0.122021","-0.119629","-0.021533","-0.101685"
"T","1617451913.9991128","7","35","7","62","62","36","0.705566","0.204407","-0.678528","-0.002197","-0.022901","-0.007634","0.007634","9.209033","2.908179","0.094507","-0.165088","0.05144","0.136377","-0.156714","0.053833","-0.142358"
"T","1617451913.9893105","7","35","8","62","60","33","0.705566","0.204712","-0.678406","-0.002075","-0.022901","-0.015267","0.007634","9.157593","2.984741","0.08374","-0.215332","0.12561","0.12561","-0.171069","0.13877","-0.168677"
"T","1617451913.978968","7","37","10","61","61","36","0.705505","0.204956","-0.678406","-0.001892","-0.007634","-0.007634","0","9.13606","3.014648","0.052637","-0.236865","0.154321","0.095703","-0.151929","0.179443","-0.181836"
"T","1617451913.9690466","7","38","10","63","62","36","0.705444","0.204834","-0.678528","-0.001709","0.015267","0.007634","-0.015267","9.157593","2.953638","0.001196","-0.216528","0.098096","0.046655","-0.088525","0.136377","-0.178247"
"T","1617451913.9591758","7","37","8","62","62","36","0.705322","0.204346","-0.678772","-0.00177","0.038168","0.022901","-0.022901","9.223389","2.847168","-0.050244","-0.151929","-0.001196","0","-0.010767","0.040674","-0.144751"
"T","1617451913.949013","7","37","10","62","62","7","0.705139","0.203613","-0.679138","-0.002014","0.038168","0.022901","-0.022901","9.266455","2.789746","-0.07417","-0.111255","-0.050244","-0.020337","0.023926","-0.008374","-0.120825"
"T","1617451913.9394355","7","36","11","63","61","36","0.705017","0.202942","-0.679504","-0.00238","0.030534","0.022901","-0.022901","9.282007","2.774194","-0.078955","-0.098096","-0.061011","-0.021533","0.028711","-0.021533","-0.111255"
"T","1617451913.9291306","7","37","8","62","62","35","0.704956","0.202515","-0.679749","-0.002563","0.007634","0.007634","-0.015267","9.250903","2.808887","-0.061011","-0.130396","-0.022729","-0.001196","-0.002393","0.015552","-0.130396"
"T","1617451913.9189851","7","38","8","63","57","33","0.704895","0.202271","-0.679871","-0.002563","0","0","-0.015267","9.213819","2.837598","-0.029907","-0.168677","0.008374","0.031104","-0.044263","0.045459","-0.159106"
"T","1617451913.9093282","7","39","9","61","60","33","0.704895","0.202087","-0.679871","-0.002441","0","-0.007634","-0.015267","9.188696","2.835205","-0.029907","-0.193799","0.00957","0.029907","-0.045459","0.053833","-0.181836"
"T","1617451913.8990953","7","37","10","63","58","36","0.704956","0.201965","-0.679871","-0.002319","0","-0.007634","-0.007634","9.179126","2.816064","-0.0323","-0.204565","-0.004785","0.026318","-0.038281","0.044263","-0.197388"
"T","1617451913.8893623","7","36","9","61","58","35","0.704956","0.201782","-0.679932","-0.002197","0","-0.007634","-0.015267","9.200659","2.764624","-0.05144","-0.184229","-0.052637","0.007178","-0.005981","0","-0.191406"
"T","1617451913.8793974","7","37","8","61","60","33","0.704956","0.201599","-0.679993","-0.002136","0.007634","0","-0.007634","9.255689","2.707202","-0.089722","-0.130396","-0.10647","-0.029907","0.046655","-0.052637","-0.154321"
"T","1617451913.8691094","7","35","9","62","68","36","0.704895","0.201416","-0.680115","-0.002258","0.007634","0.007634","-0.007634","9.321485","2.674902","-0.132788","-0.065796","-0.137573","-0.070581","0.099292","-0.087329","-0.101685"
"T","1617451913.859298","7","37","9","63","64","31","0.704834","0.201294","-0.680176","-0.002441","0.007634","0.007634","0","9.364551","2.661743","-0.150732","-0.021533","-0.150732","-0.087329","0.122021","-0.107666","-0.062207"
"T","1617451913.8498166","7","35","10","62","58","36","0.704834","0.201294","-0.680237","-0.002625","0","0.007634","0","9.399243","2.674902","-0.145947","0.011963","-0.139966","-0.082544","0.117236","-0.107666","-0.027515"
"T","1617451913.839224","7","37","10","62","59","36","0.704773","0.201416","-0.680237","-0.002808","-0.007634","0","0.007634","9.410009","2.697632","-0.128003","0.023926","-0.122021","-0.063403","0.094507","-0.100488","-0.010767"
"T","1617451913.8293312","7","36","7","58","60","33","0.704773","0.201599","-0.680176","-0.002991","-0.007634","-0.007634","0.007634","9.408813","2.726343","-0.105273","0.023926","-0.098096","-0.040674","0.066992","-0.084937","-0.004785"
"T","1617451913.8191438","7","35","8","62","58","36","0.704834","0.201782","-0.680054","-0.003052","-0.007634","-0.015267","0.007634","9.375318","2.741894","-0.072974","-0.007178","-0.086133","-0.00957","0.031104","-0.07417","-0.031104"
"T","1617451913.8099356","7","34","10","62","58","37","0.704956","0.201904","-0.679932","-0.003113","0","-0.015267","0","9.351392","2.722754","-0.055029","-0.029907","-0.107666","0.003589","0.022729","-0.090918","-0.058618"
"T","1617451913.7993293","7","36","7","58","59","32","0.705017","0.201965","-0.67981","-0.003235","0","-0.007634","0.007634","9.347803","2.711987","-0.050244","-0.0323","-0.120825","0.007178","0.022729","-0.102881","-0.065796"
"T","1617451913.7894523","7","36","9","59","60","33","0.705078","0.202087","-0.679688","-0.003357","-0.007634","-0.007634","0.007634","9.358569","2.737109","-0.045459","-0.020337","-0.099292","0.00957","0.015552","-0.087329","-0.047852"
"T","1617451913.7790716","7","35","9","61","58","32","0.705139","0.202271","-0.679565","-0.00354","-0.007634","-0.007634","0.007634","9.365747","2.793335","-0.050244","-0.011963","-0.049048","0.002393","0.00957","-0.04187","-0.025122"
"T","1617451913.7691853","7","36","9","62","60","35","0.7052","0.202515","-0.679443","-0.003662","-0.007634","-0.007634","0.015267","9.357373","2.844775","-0.059814","-0.019141","-0.002393","-0.007178","0.005981","0.004785","-0.017944"
"T","1617451913.7598617","7","35","10","63","63","37","0.7052","0.202759","-0.679321","-0.003784","-0.007634","-0.007634","0.015267","9.371729","2.871094","-0.075366","-0.002393","0.017944","-0.022729","0.016748","0.022729","0.002393"
"T","1617451913.748984","7","37","11","62","62","33","0.7052","0.203003","-0.679321","-0.003967","-0.007634","0","0.007634","9.411206","2.891431","-0.071777","0.037085","0.0323","-0.019141","0.011963","0.023926","0.044263"
"T","1617451913.7393444","7","37","9","63","60","33","0.7052","0.203064","-0.67926","-0.004089","0","0","0.007634","9.427954","2.883057","-0.061011","0.055029","0.021533","-0.008374","0.005981","0.005981","0.058618"
"T","1617451913.729265","7","35","8","62","58","35","0.705261","0.203064","-0.67926","-0.004272","0","-0.007634","0","9.430346","2.875879","-0.025122","0.057422","0.011963","0.025122","-0.022729","-0.011963","0.057422"
"T","1617451913.7191863","7","37","9","63","62","36","0.705322","0.203064","-0.679199","-0.004395","0","-0.007634","0","9.414795","2.887842","0.029907","0.04187","0.021533","0.078955","-0.077759","-0.013159","0.045459"
"T","1617451913.7092445","7","41","9","62","59","35","0.705383","0.203125","-0.679077","-0.004456","-0.007634","-0.015267","0","9.381299","2.911767","0.081348","0.00957","0.043066","0.128003","-0.132788","0","0.020337"
"T","1617451913.6997728","7","36","9","62","59","33","0.705566","0.203125","-0.678894","-0.004456","-0.007634","-0.022901","0","9.341822","2.922534","0.129199","-0.028711","0.053833","0.171069","-0.18064","0.008374","-0.011963"
"T","1617451913.6898274","7","38","7","63","62","36","0.705627","0.203125","-0.678772","-0.004395","0","-0.015267","0","9.31311","2.902197","0.133984","-0.056226","0.033496","0.173462","-0.179443","-0.001196","-0.044263"
"T","1617451913.6797998","7","35","10","61","58","36","0.705688","0.203125","-0.678711","-0.004333","0","-0.007634","-0.007634","9.305933","2.873486","0.113647","-0.063403","0.005981","0.150732","-0.150732","-0.017944","-0.058618"
"T","1617451913.6699097","7","37","9","63","60","37","0.705688","0.203064","-0.678772","-0.004211","0","0","-0.015267","9.319092","2.850757","0.094507","-0.05144","-0.013159","0.132788","-0.126807","-0.034692","-0.052637"
"T","1617451913.659999","7","36","10","60","61","36","0.705566","0.202881","-0.678955","-0.004089","0","0.007634","-0.015267","9.337036","2.808887","0.0646","-0.035889","-0.050244","0.10647","-0.090918","-0.065796","-0.049048"
"T","1617451913.65004","7","37","9","61","60","33","0.705383","0.202759","-0.679138","-0.004028","0","0.007634","-0.015267","9.337036","2.774194","0.021533","-0.035889","-0.082544","0.066992","-0.044263","-0.08374","-0.058618"
"T","1617451913.6399138","7","36","10","63","57","32","0.705261","0.202698","-0.679321","-0.003967","-0.007634","0.007634","-0.015267","9.315503","2.781372","-0.011963","-0.058618","-0.072974","0.038281","-0.021533","-0.061011","-0.076563"
"T","1617451913.629962","7","36","9","62","62","33","0.705078","0.202759","-0.679504","-0.003906","-0.015267","0.007634","-0.007634","9.285596","2.802905","-0.045459","-0.088525","-0.050244","0.00957","-0.001196","-0.022729","-0.099292"
"T","1617451913.6200342","7","36","12","63","59","33","0.704956","0.202942","-0.679565","-0.003845","-0.015267","0","0","9.264063","2.83042","-0.0646","-0.110059","-0.023926","-0.004785","0.002393","0.00957","-0.111255"
