"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"U","1617446670.348203","7","1","-5","-52","40","14","0.726807","-0.104919","-0.669495","-0.112183","0.007634","0.015267","-0.015267","9.627734","-0.089722","0.740503","-0.139966","-0.066992","-0.058618","0.023926","-0.077759","-0.143555"
"U","1617446670.338143","7","5","-3","-33","39","13","0.726624","-0.105164","-0.669617","-0.112183","0","0","-0.015267","9.606201","-0.114844","0.746484","-0.161499","-0.088525","-0.047852","0.004785","-0.094507","-0.163892"
"U","1617446670.3284154","7","1","-1","-35","38","13","0.726624","-0.105225","-0.669617","-0.112122","-0.015267","-0.007634","-0.015267","9.561938","-0.105273","0.741699","-0.205762","-0.077759","-0.052637","0.00957","-0.084937","-0.208154"
"U","1617446670.318113","7","8","-2","-33","36","14","0.726746","-0.105103","-0.669556","-0.111877","-0.022901","-0.015267","-0.015267","9.514087","-0.07417","0.741699","-0.253613","-0.044263","-0.055029","0.017944","-0.052637","-0.256006"
"U","1617446670.3084176","7","4","-4","-35","38","12","0.726929","-0.10498","-0.669434","-0.111633","-0.022901","-0.015267","-0.015267","9.479395","-0.062207","0.745288","-0.287109","-0.031104","-0.055029","0.019141","-0.039478","-0.289502"
"U","1617446670.298197","7","5","-4","-34","36","13","0.727051","-0.104858","-0.669312","-0.111328","-0.015267","-0.007634","-0.015267","9.484179","-0.081348","0.746484","-0.282324","-0.046655","-0.056226","0.016748","-0.055029","-0.284717"
"U","1617446670.288304","7","1","-4","-35","36","11","0.727173","-0.104858","-0.669312","-0.111084","-0.007634","0","-0.015267","9.524854","-0.100488","0.764429","-0.242847","-0.062207","-0.039478","0","-0.065796","-0.244043"
"U","1617446670.2781951","7","3","-3","-33","36","14","0.727112","-0.104919","-0.669312","-0.110901","0","0.007634","-0.015267","9.554761","-0.12561","0.788355","-0.211743","-0.084937","-0.014355","-0.028711","-0.080151","-0.211743"
"U","1617446670.2683558","7","2","-4","-33","35","13","0.72699","-0.105103","-0.669434","-0.11084","0.007634","0.007634","-0.007634","9.578687","-0.14834","0.806299","-0.187817","-0.104077","0.005981","-0.05144","-0.093311","-0.185425"
"U","1617446670.258247","7","1","-1","-33","37","15","0.726807","-0.105286","-0.669617","-0.11084","0.015267","0.007634","-0.007634","9.594238","-0.184229","0.819458","-0.172266","-0.13877","0.023926","-0.077759","-0.120825","-0.168677"
"U","1617446670.2483644","7","3","-3","-34","38","12","0.726624","-0.105469","-0.669739","-0.110962","0.007634","0.007634","-0.007634","9.587061","-0.208154","0.809888","-0.179443","-0.161499","0.019141","-0.080151","-0.143555","-0.175854"
