"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"V","1617451539.41145","7","21","-26","-36","57","32","0.777649","0.102722","-0.616089","0.071899","0.664122","0.068702","-0.038168","10.249804","0.050244","1.449902","0.714185","-0.647192","-0.703418","0.982153","-0.461768","0.494067"
"V","1617451539.4014575","7","21","-27","-39","57","30","0.77832","0.094238","-0.617249","0.065735","0.603053","0.038168","-0.045802","10.316797","-0.388794","1.606616","0.778784","-1.030005","-0.551489","0.925928","-0.887646","0.568237"
"V","1617451539.391505","7","22","-27","-34","58","29","0.779236","0.087036","-0.617737","0.060181","0.473282","-0.007634","-0.053435","10.279712","-0.452197","1.928418","0.741699","-1.052734","-0.242847","0.6125","-0.988135","0.60293"
"V","1617451539.3814528","7","22","-27","-34","57","30","0.780334","0.081726","-0.617432","0.05603","0.29771","-0.068702","-0.061069","10.105054","-0.10647","2.350708","0.571826","-0.678296","0.153125","0.113647","-0.702222","0.550293"
"V","1617451539.371499","7","22","-27","-35","72","26","0.781799","0.078552","-0.616211","0.05365","0.137405","-0.152672","-0.045802","9.774878","0.507227","2.775391","0.248828","-0.047852","0.53833","-0.446216","-0.150732","0.361279"
"V","1617451539.3613913","7","21","-31","-35","58","30","0.783691","0.077271","-0.614014","0.052917","0","-0.21374","-0.038168","9.348999","1.2573","3.154614","-0.161499","0.707007","0.861328","-0.985742","0.535937","0.08374"
"V","1617451539.351483","7","19","-28","-36","62","30","0.785767","0.077148","-0.611328","0.053528","-0.045802","-0.251908","-0.030534","8.978149","2.003784","3.483594","-0.516797","1.455884","1.124512","-1.458276","1.225","-0.14834"
"V","1617451539.3413396","7","22","-27","-35","59","28","0.787903","0.076721","-0.608521","0.054688","0.030534","-0.236641","-0.022901","8.686255","2.420093","3.637915","-0.79314","1.886548","1.210644","-1.690356","1.631738","-0.364868"
"V","1617451539.3313496","7","20","-27","-36","58","26","0.789734","0.074463","-0.606384","0.055115","0.221374","-0.175573","-0.015267","8.625244","2.329175","3.695337","-0.840991","1.831519","1.210644","-1.691553","1.579102","-0.411523"
"V","1617451539.321393","7","21","-28","-39","59","30","0.790955","0.069214","-0.60553","0.053711","0.48855","-0.091603","-0.022901","8.766406","1.642505","3.606812","-0.692651","1.205859","1.087427","-1.417603","0.996509","-0.334961"
"V","1617451539.3116045","7","21","-27","-36","57","29","0.791626","0.060547","-0.605957","0.049561","0.755725","0","-0.030534","9.015234","0.423486","3.369946","-0.44502","0.071777","0.838599","-0.925928","-0.061011","-0.209351"
"V","1617451539.3014112","7","21","-37","-39","62","31","0.791626","0.049316","-0.607483","0.042725","0.916031","0.068702","-0.038168","9.302343","-0.85415","3.155811","-0.163892","-1.110156","0.636426","-0.509619","-1.184326","-0.022729"
"V","1617451539.2914166","7","20","-27","-34","57","31","0.791199","0.036865","-0.609497","0.034119","0.969466","0.099237","-0.045802","9.433935","-1.831519","2.941675","-0.04187","-1.99541","0.448608","-0.244043","-2.030102","0.039478"
"V","1617451539.2815597","7","21","-27","-34","58","29","0.790466","0.024902","-0.611511","0.024902","0.877863","0.091603","-0.045802","9.437525","-2.412915","2.764624","-0.047852","-2.500244","0.305054","-0.131592","-2.515796","0.007178"
"V","1617451539.271535","7","22","-24","-34","57","32","0.789734","0.015015","-0.613037","0.016296","0.687023","0.068702","-0.030534","9.351392","-2.377026","2.679688","-0.142358","-2.412915","0.250024","-0.169873","-2.421289","-0.084937"
"V","1617451539.2615397","7","22","-49","-35","57","28","0.789185","0.007996","-0.614075","0.009338","0.473282","0.030534","-0.015267","9.302343","-1.881763","2.692847","-0.197388","-1.892529","0.283521","-0.276343","-1.899707","-0.123218"
"V","1617451539.2515712","7","22","-27","-35","57","29","0.788879","0.003418","-0.614563","0.004517","0.305344","-0.022901","-0.007634","9.201856","-1.270459","2.648584","-0.300269","-1.268066","0.250024","-0.301465","-1.271655","-0.229687"
"V","1617451539.2415931","7","22","-28","-34","57","30","0.789062","0.000488","-0.614319","0.001282","0.206107","-0.053435","-0.007634","9.096582","-0.806299","2.545703","-0.403149","-0.797925","0.142358","-0.234473","-0.797925","-0.354102"
"V","1617451539.2315524","7","22","-27","-38","59","28","0.78949","-0.001587","-0.61377","-0.000854","0.145038","-0.061069","-0.007634","9.05232","-0.513208","2.4823","-0.44502","-0.498853","0.065796","-0.174658","-0.498853","-0.413916"
"V","1617451539.221501","7","22","-28","-36","59","29","0.790039","-0.003052","-0.613098","-0.00238","0.099237","-0.053435","-0.015267","9.036768","-0.291895","2.481103","-0.456982","-0.272754","0.047852","-0.161499","-0.271558","-0.429468"
