"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"W","1617451603.840191","7","46","-16","-24","-24","68","0.798767","0.095276","-0.593994","0.008057","0.007634","0.007634","-0.007634","9.157593","1.269263","2.67251","-0.156714","-0.128003","-0.033496","0.001196","-0.104077","-0.175854"
"W","1617451603.8301923","7","48","-15","-26","-26","65","0.798706","0.095154","-0.594116","0.007935","0.007634","0.007634","0","9.165967","1.264477","2.659351","-0.14834","-0.131592","-0.044263","0.014355","-0.10647","-0.171069"
"W","1617451603.821043","7","44","-15","-24","-38","69","0.798584","0.095093","-0.594238","0.007812","0.007634","0.007634","0","9.167163","1.280029","2.650977","-0.14834","-0.117236","-0.050244","0.017944","-0.090918","-0.171069"
"W","1617451603.810382","7","48","-16","-27","-32","68","0.798523","0.095093","-0.59436","0.00769","0","0.007634","-0.007634","9.159986","1.30874","2.655762","-0.155518","-0.089722","-0.043066","0.005981","-0.0646","-0.172266"
"W","1617451603.8011007","7","46","-15","-26","-24","68","0.798462","0.095093","-0.594421","0.007629","-0.007634","0","-0.007634","9.159986","1.338647","2.650977","-0.156714","-0.059814","-0.045459","0.003589","-0.034692","-0.169873"
"W","1617451603.7902174","7","45","-17","-26","-24","71","0.798401","0.095093","-0.594543","0.007629","-0.007634","0","-0.007634","9.150415","1.366162","2.648584","-0.16748","-0.0323","-0.045459","-0.001196","-0.007178","-0.175854"
"W","1617451603.7803812","7","43","-17","-26","-28","63","0.79834","0.095093","-0.594604","0.007751","-0.007634","0","-0.007634","9.149219","1.381714","2.637817","-0.168677","-0.015552","-0.055029","0.003589","0.00957","-0.177051"
"W","1617451603.771037","7","45","-19","-28","-24","67","0.798279","0.095093","-0.594666","0.007874","-0.007634","0","-0.015267","9.133667","1.376929","2.637817","-0.184229","-0.019141","-0.052637","-0.001196","0.007178","-0.191406"
"W","1617451603.760905","7","48","-19","-26","-26","64","0.798279","0.094971","-0.594666","0.007996","0","0","-0.007634","9.132471","1.339844","2.639014","-0.186621","-0.052637","-0.052637","0.001196","-0.023926","-0.198584"
"W","1617451603.7503989","7","48","-15","-27","-28","68","0.798279","0.094788","-0.594727","0.007996","0","0","-0.007634","9.159986","1.31831","2.650977","-0.159106","-0.070581","-0.039478","0","-0.046655","-0.171069"
"W","1617451603.7409537","7","45","-17","-24","-25","68","0.798218","0.094727","-0.594788","0.007935","0","0","-0.007634","9.157593","1.325488","2.643799","-0.161499","-0.063403","-0.045459","0.003589","-0.038281","-0.174658"
