"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"X","1617451681.601092","7","41","5","61","59","37","0.861877","0.08728","-0.499084","-0.022461","-0.015267","0.045802","-0.022901","8.047437","1.771704","4.537524","-0.344531","0.076563","-0.230884","0.022729","0.147144","-0.393579"
"X","1617451681.5913205","7","41","8","63","63","39","0.861389","0.087097","-0.499878","-0.022156","0","0.045802","-0.022901","8.043848","1.752563","4.469336","-0.35769","0.0646","-0.283521","0.063403","0.143555","-0.43186"
"X","1617451681.581149","7","40","8","62","59","41","0.861084","0.08667","-0.500549","-0.021973","0.022901","0.038168","-0.022901","8.053418","1.68916","4.407129","-0.356494","0.010767","-0.334961","0.111255","0.096899","-0.465356"
"X","1617451681.571087","7","41","8","61","58","39","0.860779","0.08606","-0.501099","-0.021973","0.030534","0.022901","-0.022901","8.048633","1.585083","4.335351","-0.368457","-0.082544","-0.397168","0.163892","0.014355","-0.521582"
"X","1617451681.561165","7","39","7","59","63","41","0.860657","0.085327","-0.501404","-0.022034","0.030534","0.015267","-0.022901","8.031885","1.467847","4.275537","-0.388794","-0.187817","-0.452197","0.206958","-0.080151","-0.583789"
"X","1617451681.5512412","7","38","5","61","61","39","0.860657","0.084656","-0.501587","-0.022095","0.030534","0.007634","-0.022901","8.025904","1.379321","4.243237","-0.398364","-0.265576","-0.484497","0.234473","-0.151929","-0.619678"
"X","1617451681.5413218","7","39","8","34","62","39","0.860657","0.084106","-0.501648","-0.022156","0.022901","0","-0.022901","8.021118","1.312329","4.21333","-0.404346","-0.324194","-0.514404","0.259595","-0.205762","-0.649585"
"X","1617451681.5311017","7","38","5","38","61","40","0.860718","0.083679","-0.501648","-0.022156","0.015267","0","-0.022901","8.04624","1.260889","4.201367","-0.379224","-0.368457","-0.52876","0.287109","-0.251221","-0.642407"
"X","1617451681.5212982","7","39","8","61","62","39","0.860779","0.083374","-0.501648","-0.022156","0.007634","0","-0.015267","8.079737","1.239355","4.209741","-0.346924","-0.384009","-0.521582","0.29668","-0.272754","-0.613696"
"X","1617451681.5112307","7","42","3","63","59","37","0.860779","0.083313","-0.501526","-0.022156","0","0","-0.007634","8.118017","1.225","4.233667","-0.30625","-0.398364","-0.498853","0.297876","-0.294287","-0.569434"
