"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"Y","1617451762.2402258","7","-32","39","52","36","-15","0.829956","0.038391","-0.55481","0.043152","-0.007634","-0.015267","-0.022901","8.659937","0.014355","3.818555","-0.397168","-0.139966","0.080151","-0.208154","-0.159106","-0.33855"
"Y","1617451762.2300606","7","-31","38","53","36","-13","0.830017","0.038452","-0.554749","0.043335","-0.022901","-0.015267","-0.022901","8.636011","0.088525","3.834106","-0.421094","-0.065796","0.094507","-0.239258","-0.087329","-0.354102"
"Y","1617451762.2199924","7","-35","39","55","36","-17","0.830017","0.038574","-0.554688","0.043701","-0.030534","-0.015267","-0.022901","8.619263","0.174658","3.824536","-0.436646","0.021533","0.08374","-0.245239","0","-0.37085"
"Y","1617451762.2100446","7","-31","40","54","39","-13","0.830017","0.038757","-0.554626","0.044128","-0.022901","-0.022901","-0.022901","8.58457","0.228491","3.765918","-0.471338","0.076563","0.023926","-0.209351","0.058618","-0.424683"
"Y","1617451762.2001505","7","-35","40","53","36","-15","0.830078","0.038696","-0.554504","0.044556","-0.007634","-0.022901","-0.015267","8.582178","0.197388","3.663037","-0.472534","0.05144","-0.080151","-0.112451","0.045459","-0.465356"
"Y","1617451762.1900504","7","-33","42","57","37","-15","0.830078","0.038452","-0.554504","0.0448","0.007634","-0.007634","-0.015267","8.637207","0.114844","3.546997","-0.417505","-0.022729","-0.197388","0.023926","-0.013159","-0.460571"
"Y","1617451762.1800694","7","-35","40","53","38","-23","0.830017","0.038147","-0.554626","0.044861","0.015267","0.007634","-0.015267","8.737696","0.023926","3.44292","-0.318213","-0.108862","-0.299072","0.165088","-0.08374","-0.409131"
"Y","1617451762.1701753","7","-35","40","54","35","-13","0.829895","0.037903","-0.55481","0.0448","0.015267","0.015267","-0.007634","8.820239","-0.021533","3.362769","-0.236865","-0.150732","-0.375635","0.271558","-0.114844","-0.363672"
"Y","1617451762.1600802","7","-32","41","56","39","-16","0.829712","0.03772","-0.555115","0.044678","0.007634","0.022901","-0.007634","8.890821","-0.049048","3.322095","-0.168677","-0.175854","-0.409131","0.331372","-0.133984","-0.313428"
"Y","1617451762.150206","7","-36","39","51","35","-24","0.829529","0.037598","-0.555359","0.044617","0","0.022901","-0.007634","8.948242","-0.058618","3.323291","-0.113647","-0.184229","-0.403149","0.34812","-0.141162","-0.259595"
"Y","1617451762.140296","7","-32","41","54","37","-24","0.829407","0.037659","-0.555542","0.044617","-0.007634","0.015267","-0.007634","8.961401","-0.050244","3.362769","-0.101685","-0.175854","-0.358887","0.311035","-0.137573","-0.23208"
"Y","1617451762.1301265","7","-35","39","54","36","-16","0.829346","0.037842","-0.555603","0.044678","-0.022901","0.007634","-0.007634","8.942261","-0.017944","3.417798","-0.122021","-0.145947","-0.302661","0.247632","-0.113647","-0.229687"
"Y","1617451762.1203215","7","-33","40","54","38","-13","0.829407","0.038086","-0.555542","0.044861","-0.022901","-0.015267","-0.007634","8.887232","0.023926","3.489575","-0.177051","-0.10647","-0.23208","0.15791","-0.084937","-0.252417"
"Y","1617451762.110208","7","-35","40","50","38","-15","0.82959","0.038391","-0.555237","0.045105","-0.022901","-0.030534","-0.007634","8.805883","0.056226","3.54939","-0.256006","-0.076563","-0.178247","0.075366","-0.063403","-0.305054"
"Y","1617451762.1001444","7","-36","40","54","39","-15","0.829895","0.038635","-0.554749","0.045349","-0.022901","-0.038168","-0.007634","8.730517","0.081348","3.597241","-0.326587","-0.053833","-0.141162","0.010767","-0.047852","-0.355298"
"Y","1617451762.0901673","7","-33","39","55","36","-23","0.8302","0.039001","-0.554199","0.045471","-0.022901","-0.038168","-0.007634","8.70061","0.137573","3.653467","-0.351709","-0.002393","-0.095703","-0.045459","-0.002393","-0.361279"
"Y","1617451762.0803602","7","-35","38","52","36","-23","0.830505","0.039246","-0.553711","0.045654","-0.015267","-0.030534","0","8.695826","0.204565","3.71687","-0.351709","0.061011","-0.043066","-0.101685","0.053833","-0.339746"
"Y","1617451762.0701315","7","-36","39","53","38","-23","0.83075","0.039307","-0.553345","0.045715","0","-0.022901","0","8.718554","0.221313","3.767114","-0.326587","0.076563","0","-0.133984","0.0646","-0.300269"
"Y","1617451762.0601933","7","-34","39","54","34","-16","0.830933","0.039246","-0.553101","0.045654","0.015267","-0.015267","0.007634","8.761621","0.189014","3.803003","-0.281128","0.044263","0.028711","-0.13877","0.031104","-0.247632"
"Y","1617451762.0501163","7","-32","40","53","34","-13","0.830994","0.039062","-0.55304","0.04541","0.022901","-0.007634","0.007634","8.80708","0.144751","3.826929","-0.234473","0","0.05144","-0.136377","-0.013159","-0.196191"
"Y","1617451762.0400755","7","-33","39","53","35","-15","0.830994","0.038757","-0.55304","0.045044","0.022901","-0.007634","0.007634","8.856128","0.120825","3.850854","-0.185425","-0.021533","0.075366","-0.137573","-0.035889","-0.142358"
"Y","1617451762.0301378","7","-32","40","54","40","-15","0.830994","0.038574","-0.553101","0.044678","0.015267","-0.007634","0.007634","8.886035","0.102881","3.85564","-0.155518","-0.040674","0.080151","-0.128003","-0.053833","-0.112451"
"Y","1617451762.0202513","7","-32","41","53","34","-23","0.830994","0.038513","-0.553101","0.044373","0","0","0.007634","8.895605","0.128003","3.869995","-0.145947","-0.017944","0.095703","-0.141162","-0.0323","-0.096899"
"Y","1617451762.0103498","7","-33","38","53","36","-25","0.830994","0.038635","-0.553162","0.04425","-0.015267","-0.007634","0","8.889624","0.171069","3.891528","-0.153125","0.021533","0.117236","-0.168677","0.002393","-0.095703"
"Y","1617451762.000167","7","-32","40","54","36","-17","0.830994","0.038757","-0.553162","0.044312","-0.015267","-0.007634","0","8.870483","0.19021","3.904687","-0.172266","0.038281","0.130396","-0.189014","0.016748","-0.107666"
"Y","1617451761.9902334","7","-32","42","56","35","-23","0.830994","0.03894","-0.553101","0.044434","-0.015267","-0.015267","-0.007634","8.834595","0.16748","3.881958","-0.206958","0.014355","0.107666","-0.179443","-0.003589","-0.14834"
"Y","1617451761.980123","7","-34","41","54","35","-16","0.830994","0.039124","-0.55304","0.044556","-0.022901","-0.015267","-0.007634","8.815454","0.169873","3.860425","-0.226099","0.015552","0.084937","-0.166284","-0.001196","-0.174658"
"Y","1617451761.970501","7","-33","39","55","34","-16","0.830994","0.039429","-0.55304","0.044739","-0.030534","-0.007634","-0.007634","8.804688","0.230884","3.84248","-0.236865","0.072974","0.066992","-0.160303","0.057422","-0.191406"
"Y","1617451761.9600928","7","-35","39","53","36","-16","0.830994","0.039734","-0.552979","0.045044","-0.030534","-0.007634","-0.007634","8.77478","0.305054","3.814966","-0.266772","0.145947","0.039478","-0.155518","0.131592","-0.228491"
"Y","1617451761.950239","7","-33","40","53","38","-17","0.830994","0.039917","-0.55304","0.045349","-0.015267","0","-0.007634","8.769995","0.328979","3.770703","-0.272754","0.169873","-0.003589","-0.120825","0.160303","-0.250024"
"Y","1617451761.9402132","7","-33","40","57","38","-23","0.830872","0.039917","-0.553162","0.045532","0","0.007634","-0.007634","8.795117","0.270361","3.714478","-0.247632","0.113647","-0.056226","-0.056226","0.111255","-0.247632"
"Y","1617451761.9302747","7","-33","38","56","39","-23","0.83075","0.039612","-0.553406","0.045593","0.015267","0.015267","-0.007634","8.833399","0.179443","3.666626","-0.211743","0.028711","-0.099292","0.005981","0.0323","-0.23208"
"Y","1617451761.9203184","7","-32","41","52","32","-16","0.830566","0.039246","-0.55365","0.045471","0.022901","0.015267","-0.007634","8.858521","0.099292","3.636719","-0.189014","-0.045459","-0.124414","0.046655","-0.035889","-0.22251"
"Y","1617451761.910378","7","-35","40","53","36","-17","0.830505","0.038879","-0.553833","0.045288","0.022901","0.007634","-0.007634","8.844165","0.040674","3.628345","-0.204565","-0.100488","-0.130396","0.052637","-0.090918","-0.239258"
"Y","1617451761.9004304","7","-35","41","54","35","-24","0.830444","0.038574","-0.553955","0.045166","0.007634","0","-0.015267","8.811865","0.017944","3.639111","-0.238062","-0.118433","-0.117236","0.029907","-0.111255","-0.265576"
