"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"Z","1617451823.2195628","7","1","-16","63","53","25","0.900085","0.125732","-0.236206","-0.343872","0.114504","-0.137405","-0.267176","2.905786","12.684253","7.175342","-0.41272","8.874072","-1.220215","5.321094","6.852344","2.264575"
"Z","1617451823.2089784","7","0","-17","63","55","25","0.903442","0.120361","-0.232361","-0.339478","0.122137","-0.183206","-0.412214","2.327979","12.659131","7.531836","-0.984546","8.981738","-0.924731","4.818652","7.364356","2.238257"
"Z","1617451823.1996813","7","1","-16","63","54","25","0.907837","0.114258","-0.228271","-0.332581","0.10687","-0.229008","-0.587786","1.728638","12.320581","7.979248","-1.587476","8.798706","-0.541919","4.048242","7.693335","2.152124"
"Z","1617451823.1895554","7","1","-17","63","53","24","0.913208","0.107422","-0.224182","-0.322815","0.099237","-0.251908","-0.793893","1.184326","11.607593","8.535522","-2.148535","8.266357","-0.052637","3.015845","7.724439","2.040869"
"Z","1617451823.1795335","7","0","-19","62","52","26","0.919434","0.099854","-0.22052","-0.309814","0.099237","-0.259542","-0.992366","0.724951","10.487866","9.132471","-2.642602","7.348804","0.480908","1.759741","7.389478","1.8698"
"Z","1617451823.169611","7","-3","-19","62","56","26","0.92627","0.091675","-0.217407","-0.293823","0.099237","-0.259542","-1.167939","0.406738","9.009253","9.670801","-3.012256","6.0927","0.961816","0.425879","6.657349","1.616186"
"Z","1617451823.159495","7","-16","-16","63","40","-13","0.93335","0.083191","-0.214905","-0.275208","0.099237","-0.259542","-1.305344","0.197388","7.329663","10.075147","-3.28501","4.647583","1.315918","-0.850561","5.634521","1.280029"
"Z","1617451823.1495783","7","0","-15","63","54","23","0.940308","0.074585","-0.213074","-0.254578","0.099237","-0.244275","-1.40458","0.119629","5.560351","10.280909","-3.434546","3.122314","1.47981","-1.930811","4.387988","0.858936"
"Z","1617451823.1395411","7","0","-17","63","53","25","0.946899","0.066345","-0.211853","-0.232605","0.083969","-0.221374","-1.458015","0.244043","3.871192","10.292871","-3.384302","1.673608","1.458276","-2.653369","3.024219","0.435449"
"Z","1617451823.1295793","7","-1","-19","63","63","23","0.95282","0.058716","-0.211304","-0.209839","0.068702","-0.175573","-1.496183","0.544312","2.388989","10.185205","-3.1594","0.42229","1.327881","-3.007471","1.692749","0.089722"
"Z","1617451823.119818","7","-1","-15","63","53","26","0.958008","0.051453","-0.211487","-0.186707","0.068702","-0.099237","-1.503817","0.898413","1.110156","10.05481","-2.884253","-0.629248","1.18313","-3.137866","0.489282","-0.153125"
"Z","1617451823.109774","7","0","-18","61","52","24","0.962341","0.044128","-0.212585","-0.163574","0.10687","-0.022901","-1.480916","1.208252","-0.227295","9.923218","-2.659351","-1.740601","1.046753","-3.234766","-0.769214","-0.369653"
"Z","1617451823.0996363","7","1","-18","63","52","25","0.965698","0.036865","-0.214661","-0.141174","0.122137","0.061069","-1.435115","1.49895","-1.481006","9.789233","-2.461963","-2.771802","0.91875","-3.238354","-1.952344","-0.52876"
"Z","1617451823.0896685","7","2","-16","63","56","26","0.968201","0.029968","-0.21759","-0.119629","0.122137","0.10687","-1.374046","1.748975","-2.478711","9.644483","-2.308838","-3.556567","0.789551","-3.139062","-2.887842","-0.634033"
"Z","1617451823.0798","7","-1","-18","63","55","26","0.96991","0.023804","-0.220947","-0.099365","0.114504","0.10687","-1.282443","1.920044","-3.240747","9.474609","-2.233472","-4.122412","0.642407","-3.000293","-3.582886","-0.73811"
"Z","1617451823.0696993","7","0","-13","63","56","23","0.971069","0.018677","-0.22406","-0.080505","0.083969","0.083969","-1.19084","2.046851","-3.706104","9.259277","-2.188013","-4.414307","0.449805","-2.789746","-3.993213","-0.860132"
"Z","1617451823.059714","7","0","-19","63","56","26","0.971863","0.014587","-0.226501","-0.062988","0.061069","0.030534","-1.10687","2.107861","-3.941772","9.024805","-2.188013","-4.499243","0.234473","-2.570825","-4.178638","-1.004883"
"Z","1617451823.0496671","7","0","-17","63","55","24","0.972473","0.011292","-0.227905","-0.046814","0.038168","-0.022901","-1.022901","2.03728","-4.135571","8.760425","-2.295679","-4.559058","-0.017944","-2.429663","-4.316211","-1.228589"
"Z","1617451823.039599","7","-1","-17","63","52","25","0.972961","0.008728","-0.228394","-0.031738","0.015267","-0.053435","-0.954198","1.908081","-4.268359","8.560644","-2.441626","-4.575806","-0.214136","-2.350708","-4.40354","-1.418799"
"Z","1617451823.0297225","7","-3","-17","62","55","26","0.973267","0.006592","-0.228699","-0.017578","0.007634","-0.038168","-0.885496","1.892529","-4.438232","8.519971","-2.466748","-4.641602","-0.252417","-2.238257","-4.544702","-1.419995"
"Z","1617451823.0197046","7","3","-16","63","55","25","0.973328","0.004761","-0.229309","-0.004578","0.015267","0","-0.816794","2.030102","-4.733716","8.58816","-2.34353","-4.844971","-0.18064","-2.048047","-4.81626","-1.262085"
"Z","1617451823.009721","7","5","-11","63","53","24","0.973022","0.002808","-0.230347","0.007446","0.045802","0.038168","-0.763359","2.18562","-5.124902","8.722143","-2.207153","-5.144043","-0.035889","-1.874585","-5.171557","-1.031201"
"Z","1617451822.9995248","7","3","-16","63","55","24","0.972473","0.00061","-0.232117","0.018433","0.083969","0.083969","-0.709924","2.393775","-5.651269","8.936279","-2.030102","-5.578296","0.192603","-1.695142","-5.647681","-0.703418"
